Field,Source,Works
"Biochemistry, Genetics and Molecular Biology",Bioorganic & Medicinal Chemistry Letters,11807
"Biochemistry, Genetics and Molecular Biology",Angewandte Chemie,11724
"Biochemistry, Genetics and Molecular Biology",Applied and Environmental Microbiology,11646
"Biochemistry, Genetics and Molecular Biology",The Journal of Biochemistry,11614
"Biochemistry, Genetics and Molecular Biology",Oncotarget,11562
"Biochemistry, Genetics and Molecular Biology",Cellular and Molecular Life Sciences,11506
"Biochemistry, Genetics and Molecular Biology",The Journal of Organic Chemistry,11361
"Biochemistry, Genetics and Molecular Biology",Biodiversity Heritage Library (Smithsonian Institution),11334
"Biochemistry, Genetics and Molecular Biology",Munich Personal RePEc Archive (Ludwig Maximilian University of Munich),11304
"Biochemistry, Genetics and Molecular Biology",Europe PMC (PubMed Central),11298
"Biochemistry, Genetics and Molecular Biology",Biochimica et Biophysica Acta (BBA) - Biomembranes,11287
"Biochemistry, Genetics and Molecular Biology",Frontiers in Microbiology,11255
"Biochemistry, Genetics and Molecular Biology",Endocrinology,11104
"Biochemistry, Genetics and Molecular Biology",Agricultural and Biological Chemistry,11097
"Biochemistry, Genetics and Molecular Biology",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,10994
"Biochemistry, Genetics and Molecular Biology",Oncogene,10870
"Biochemistry, Genetics and Molecular Biology",Journal of Crohn s and Colitis,10868
"Biochemistry, Genetics and Molecular Biology",Journal of Neurochemistry,10856
"Biochemistry, Genetics and Molecular Biology",Journal of Agricultural and Food Chemistry,10688
"Biochemistry, Genetics and Molecular Biology",JAMA,10680
"Biochemistry, Genetics and Molecular Biology",International Journal of Biological Macromolecules,10233
"Biochemistry, Genetics and Molecular Biology",BMC Bioinformatics,10173
"Biochemistry, Genetics and Molecular Biology",Experimental Biology and Medicine,10145
"Biochemistry, Genetics and Molecular Biology",Circulation,10027
"Biochemistry, Genetics and Molecular Biology",BMC Genomics,9931
"Biochemistry, Genetics and Molecular Biology",Current Biology,9840
"Biochemistry, Genetics and Molecular Biology",European Journal of Pharmacology,9803
"Biochemistry, Genetics and Molecular Biology",Journal of Investigative Dermatology,9778
"Biochemistry, Genetics and Molecular Biology",Biochimica et Biophysica Acta (BBA) - Bioenergetics,9723
"Biochemistry, Genetics and Molecular Biology",Journal of Visualized Experiments,9717
"Biochemistry, Genetics and Molecular Biology",The Journal of Physical Chemistry B,9712
"Biochemistry, Genetics and Molecular Biology",Life Sciences,9684
"Biochemistry, Genetics and Molecular Biology",Seibutsu Butsuri,9670
"Biochemistry, Genetics and Molecular Biology",The Journal of Physiology,9610
"Biochemistry, Genetics and Molecular Biology","Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",9524
"Biochemistry, Genetics and Molecular Biology",Journal of Cellular Physiology,9491
"Biochemistry, Genetics and Molecular Biology",UNC Libraries,9391
"Biochemistry, Genetics and Molecular Biology",Frontiers in Genetics,9390
"Biochemistry, Genetics and Molecular Biology",Preprints.org,9289
"Biochemistry, Genetics and Molecular Biology",Free Radical Biology and Medicine,9276
"Biochemistry, Genetics and Molecular Biology",OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),9275
"Biochemistry, Genetics and Molecular Biology",eLife,9233
"Biochemistry, Genetics and Molecular Biology",BMJ,9217
"Biochemistry, Genetics and Molecular Biology",European Journal of Cancer,9175
"Biochemistry, Genetics and Molecular Biology",Oxford University Press eBooks,9108
"Biochemistry, Genetics and Molecular Biology",International Journal of Cancer,9069
"Biochemistry, Genetics and Molecular Biology",Brain Research,9050
"Biochemistry, Genetics and Molecular Biology",Journal of Clinical Investigation,9004
"Biochemistry, Genetics and Molecular Biology",New England Journal of Medicine,8935
"Biochemistry, Genetics and Molecular Biology",Antimicrobial Agents and Chemotherapy,8934
"Biochemistry, Genetics and Molecular Biology",Plant Disease,8876
"Biochemistry, Genetics and Molecular Biology",Diabetes,8869
"Biochemistry, Genetics and Molecular Biology",Molecular Biology of the Cell,8782
"Biochemistry, Genetics and Molecular Biology",Toxicon,8778
"Biochemistry, Genetics and Molecular Biology",Circulation Research,8744
"Biochemistry, Genetics and Molecular Biology",Journal of Animal Science,8720
"Biochemistry, Genetics and Molecular Biology",Journal of Cellular Biochemistry,8588
"Biochemistry, Genetics and Molecular Biology",Angewandte Chemie International Edition,8578
"Biochemistry, Genetics and Molecular Biology",Molecular Microbiology,8539
"Biochemistry, Genetics and Molecular Biology",Annals of Oncology,8537
"Biochemistry, Genetics and Molecular Biology",Journal of Pharmacology and Experimental Therapeutics,8527
"Biochemistry, Genetics and Molecular Biology",Tetrahedron,8440
"Biochemistry, Genetics and Molecular Biology",Cancers,8440
"Biochemistry, Genetics and Molecular Biology",Biotechnology and Bioengineering,8425
"Biochemistry, Genetics and Molecular Biology",Applied Microbiology and Biotechnology,8419
"Biochemistry, Genetics and Molecular Biology",Frontiers in Immunology,8265
"Biochemistry, Genetics and Molecular Biology",Molecular Cell,8230
"Biochemistry, Genetics and Molecular Biology",Cambridge University Press eBooks,8194
"Biochemistry, Genetics and Molecular Biology",Cancer Letters,8076
"Biochemistry, Genetics and Molecular Biology",Clinical Cancer Research,8062
"Biochemistry, Genetics and Molecular Biology",The Journal of Clinical Endocrinology & Metabolism,8037
"Biochemistry, Genetics and Molecular Biology",Journal of Virology,8009
"Biochemistry, Genetics and Molecular Biology",Biochemical Journal,7979
"Biochemistry, Genetics and Molecular Biology",Data Archiving and Networked Services (DANS),7952
"Biochemistry, Genetics and Molecular Biology",Chemical and Pharmaceutical Bulletin,7940
"Biochemistry, Genetics and Molecular Biology",Frontiers in Oncology,7909
"Biochemistry, Genetics and Molecular Biology",Journal of Chromatography A,7896
"Biochemistry, Genetics and Molecular Biology",International Journal of Radiation Oncology*Biology*Physics,7728
"Biochemistry, Genetics and Molecular Biology",Cells,7703
"Biochemistry, Genetics and Molecular Biology",Journal of Neuroscience,7683
"Biochemistry, Genetics and Molecular Biology",The Journal of Urology,7661
"Biochemistry, Genetics and Molecular Biology",Biochimica et Biophysica Acta (BBA) - General Subjects,7649
"Biochemistry, Genetics and Molecular Biology",Mycologia,7629
"Biochemistry, Genetics and Molecular Biology",Chemical Communications,7622
"Biochemistry, Genetics and Molecular Biology",Americanae (AECID Library),7622
"Biochemistry, Genetics and Molecular Biology",Infection and Immunity,7615
"Biochemistry, Genetics and Molecular Biology",American Journal of Medical Genetics Part A,7600
"Biochemistry, Genetics and Molecular Biology",British Journal of Cancer,7557
"Biochemistry, Genetics and Molecular Biology",PLoS Genetics,7549
"Biochemistry, Genetics and Molecular Biology",Frontiers in Plant Science,7546
"Biochemistry, Genetics and Molecular Biology",Cell Reports,7534
"Biochemistry, Genetics and Molecular Biology",Medicine & Science in Sports & Exercise,7528
"Biochemistry, Genetics and Molecular Biology",The Quarterly Review of Biology,7349
"Biochemistry, Genetics and Molecular Biology",American Journal of Medical Genetics,7322
"Biochemistry, Genetics and Molecular Biology",The Japanese Journal of Pharmacology,7285
"Biochemistry, Genetics and Molecular Biology",JNCI Journal of the National Cancer Institute,7274
"Biochemistry, Genetics and Molecular Biology",Neurology,7267
"Biochemistry, Genetics and Molecular Biology",Human Molecular Genetics,7249
"Biochemistry, Genetics and Molecular Biology",Acta Horticulturae,7189
"Biochemistry, Genetics and Molecular Biology",Genes,7120
"Biochemistry, Genetics and Molecular Biology",Carcinogenesis,7112
"Biochemistry, Genetics and Molecular Biology",Planta Medica,7087
"Biochemistry, Genetics and Molecular Biology",Biosensors and Bioelectronics,7074
"Biochemistry, Genetics and Molecular Biology",Clinica Chimica Acta,7053
"Biochemistry, Genetics and Molecular Biology",Journal of Dairy Science,6959
"Biochemistry, Genetics and Molecular Biology",Food Chemistry,6943
"Biochemistry, Genetics and Molecular Biology",American Journal of Physiology-Cell Physiology,6930
"Biochemistry, Genetics and Molecular Biology",Molecular and General Genetics MGG,6896
"Biochemistry, Genetics and Molecular Biology",Journal of Clinical Microbiology,6853
"Biochemistry, Genetics and Molecular Biology",Frontiers in Pharmacology,6844
"Biochemistry, Genetics and Molecular Biology",Journal of Natural Products,6837
"Biochemistry, Genetics and Molecular Biology",Bioorganic & Medicinal Chemistry,6833
"Biochemistry, Genetics and Molecular Biology",Nature Genetics,6831
"Biochemistry, Genetics and Molecular Biology",The American Journal of Gastroenterology,6780
"Biochemistry, Genetics and Molecular Biology",Genomics,6759
"Biochemistry, Genetics and Molecular Biology",Alzheimer s & Dementia,6712
"Biochemistry, Genetics and Molecular Biology",British Journal of Pharmacology,6708
"Biochemistry, Genetics and Molecular Biology",OpenGrey (Institut de l'Information Scientifique et Technique),6669
"Biochemistry, Genetics and Molecular Biology",Clinical Chemistry,6632
"Biochemistry, Genetics and Molecular Biology",Frontiers in Cell and Developmental Biology,6615
"Biochemistry, Genetics and Molecular Biology",Human Genetics,6577
"Biochemistry, Genetics and Molecular Biology",Neuromuscular Disorders,6572
"Biochemistry, Genetics and Molecular Biology",Molecular Pharmacology,6557
"Biochemistry, Genetics and Molecular Biology",Bulletin of the American Physical Society,6518
"Biochemistry, Genetics and Molecular Biology",Archiv der Pharmazie,6480
"Biochemistry, Genetics and Molecular Biology",Plastic & Reconstructive Surgery,6460
"Biochemistry, Genetics and Molecular Biology",Inflammatory Bowel Diseases,6396
"Biochemistry, Genetics and Molecular Biology",Biotechnology Advances,6389
"Biochemistry, Genetics and Molecular Biology",Pediatric Research,6387
"Biochemistry, Genetics and Molecular Biology",Genes & Development,6375
"Biochemistry, Genetics and Molecular Biology",Oncology Reports,6345
"Biochemistry, Genetics and Molecular Biology",Cell Cycle,6311
"Biochemistry, Genetics and Molecular Biology",Journal of Theoretical Biology,6300
"Biochemistry, Genetics and Molecular Biology",Journal of Biotechnology,6281
"Biochemistry, Genetics and Molecular Biology",Nature Biotechnology,6231
"Biochemistry, Genetics and Molecular Biology",Molecular Biology Reports,6230
"Biochemistry, Genetics and Molecular Biology",Neuroscience Letters,6228
"Biochemistry, Genetics and Molecular Biology",Analytical and Bioanalytical Chemistry,6209
"Biochemistry, Genetics and Molecular Biology",The American Journal of Human Genetics,6200
"Biochemistry, Genetics and Molecular Biology",Proteins Structure Function and Bioinformatics,6182
"Biochemistry, Genetics and Molecular Biology",Bulletin of Experimental Biology and Medicine,6176
"Biochemistry, Genetics and Molecular Biology",Pflügers Archiv - European Journal of Physiology,6139
"Biochemistry, Genetics and Molecular Biology",Cancer,6086
"Biochemistry, Genetics and Molecular Biology",Cell Death and Disease,6068
"Biochemistry, Genetics and Molecular Biology",Journal of Molecular and Cellular Cardiology,6054
"Biochemistry, Genetics and Molecular Biology",Toxicology Letters,6042
"Biochemistry, Genetics and Molecular Biology",Biomedicine & Pharmacotherapy,6038
"Biochemistry, Genetics and Molecular Biology",Bioscience Biotechnology and Biochemistry,6027
"Biochemistry, Genetics and Molecular Biology",Molecular Cancer Therapeutics,5980
"Biochemistry, Genetics and Molecular Biology",Biochimie,5966
"Biochemistry, Genetics and Molecular Biology",Microbiology,5950
"Biochemistry, Genetics and Molecular Biology",Molecular Medicine Reports,5950
"Biochemistry, Genetics and Molecular Biology",Oncology Letters,5919
"Biochemistry, Genetics and Molecular Biology",RSC Advances,5890
"Biochemistry, Genetics and Molecular Biology",Biopolymers,5884
"Biochemistry, Genetics and Molecular Biology",Molecular and Cellular Biochemistry,5878
"Biochemistry, Genetics and Molecular Biology",Fresenius Zeitschrift für Analytische Chemie,5827
"Biochemistry, Genetics and Molecular Biology","The Dictionary of Genomics, Transcriptomics and Proteomics",5825
"Biochemistry, Genetics and Molecular Biology",The Journal of Chemical Physics,5779
"Biochemistry, Genetics and Molecular Biology",Journal of Medical Genetics,5763
"Biochemistry, Genetics and Molecular Biology",BioMed Research International,5747
"Biochemistry, Genetics and Molecular Biology",DergiPark (Istanbul University),5733
"Biochemistry, Genetics and Molecular Biology",Protein Science,5708
"Biochemistry, Genetics and Molecular Biology",PLoS Computational Biology,5697
"Biochemistry, Genetics and Molecular Biology",Zootaxa,5683
"Biochemistry, Genetics and Molecular Biology",The Analyst,5664
"Biochemistry, Genetics and Molecular Biology",SpringerReference,5656
"Biochemistry, Genetics and Molecular Biology",FEBS Journal,5610
"Biochemistry, Genetics and Molecular Biology",Langmuir,5576
"Biochemistry, Genetics and Molecular Biology",Atherosclerosis,5562
"Biochemistry, Genetics and Molecular Biology",Arteriosclerosis Thrombosis and Vascular Biology,5521
"Biochemistry, Genetics and Molecular Biology",Journal of Molecular Medicine,5518
"Biochemistry, Genetics and Molecular Biology",Molecular Biology and Evolution,5511
"Biochemistry, Genetics and Molecular Biology",Experimental Eye Research,5484
"Biochemistry, Genetics and Molecular Biology",Planta,5445
"Biochemistry, Genetics and Molecular Biology",Evolution,5444
"Biochemistry, Genetics and Molecular Biology",Mitochondrial DNA Part B,5443
"Biochemistry, Genetics and Molecular Biology",ChemBioChem,5443
"Biochemistry, Genetics and Molecular Biology",Breast Cancer Research and Treatment,5432
"Biochemistry, Genetics and Molecular Biology",Journal of Antimicrobial Chemotherapy,5399
"Biochemistry, Genetics and Molecular Biology",Plant and Cell Physiology,5394
"Biochemistry, Genetics and Molecular Biology",eScholarship (California Digital Library),5372
"Biochemistry, Genetics and Molecular Biology",Clinical Genetics,5331
"Biochemistry, Genetics and Molecular Biology",European Journal of Medicinal Chemistry,5330
"Biochemistry, Genetics and Molecular Biology",Helvetica Chimica Acta,5309
"Biochemistry, Genetics and Molecular Biology",Cell and Tissue Research,5306
"Biochemistry, Genetics and Molecular Biology",Nature Methods,5285
"Biochemistry, Genetics and Molecular Biology","Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",5263
"Biochemistry, Genetics and Molecular Biology",Naunyn-Schmiedeberg s Archives of Pharmacology,5230
"Biochemistry, Genetics and Molecular Biology",Journal of the American Society of Nephrology,5216
"Biochemistry, Genetics and Molecular Biology",Archives of Microbiology,5196
"Biochemistry, Genetics and Molecular Biology",BMC Cancer,5191
"Biochemistry, Genetics and Molecular Biology",Plant Cell Tissue and Organ Culture (PCTOC),5177
"Biochemistry, Genetics and Molecular Biology",Neuro-Oncology,5157
"Biochemistry, Genetics and Molecular Biology",Sensors and Actuators B Chemical,5130
"Biochemistry, Genetics and Molecular Biology",Analytica Chimica Acta,5117
"Biochemistry, Genetics and Molecular Biology",American Journal of Physiology-Renal Physiology,5104
"Biochemistry, Genetics and Molecular Biology",Nutrients,5035
"Biochemistry, Genetics and Molecular Biology",Socio-Environmental Systems Modeling,5024
"Biochemistry, Genetics and Molecular Biology",Microscopy and Microanalysis,5023
"Biochemistry, Genetics and Molecular Biology",British Journal of Dermatology,5019
"Biochemistry, Genetics and Molecular Biology",International Journal of Oncology,5018
"Biochemistry, Genetics and Molecular Biology",Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,4996
"Biochemistry, Genetics and Molecular Biology",Chemistry of Natural Compounds,4963
"Biochemistry, Genetics and Molecular Biology",Sax's Dangerous Properties of Industrial Materials,4958
"Biochemistry, Genetics and Molecular Biology",Journal of Biomolecular Structure and Dynamics,4951
"Biochemistry, Genetics and Molecular Biology",ZooKeys,4928
"Biochemistry, Genetics and Molecular Biology",Archives of Dermatology,4927
"Biochemistry, Genetics and Molecular Biology",Biotechnology Letters,4920
"Biochemistry, Genetics and Molecular Biology",Trends in Biochemical Sciences,4909
"Biochemistry, Genetics and Molecular Biology",Hoppe-Seyler´s Zeitschrift für physiologische Chemie,4907
"Biochemistry, Genetics and Molecular Biology",theses.fr (ABES),4906
"Biochemistry, Genetics and Molecular Biology",Veterinary Record,4872
"Biochemistry, Genetics and Molecular Biology",Virology,4858
"Biochemistry, Genetics and Molecular Biology",Journal of Nutrition,4851
"Biochemistry, Genetics and Molecular Biology",Die Naturwissenschaften,4825
"Biochemistry, Genetics and Molecular Biology",Molecular Ecology,4809
"Biochemistry, Genetics and Molecular Biology",The Journal of Experimental Medicine,4782
"Biochemistry, Genetics and Molecular Biology",Biology of Reproduction,4762
"Biochemistry, Genetics and Molecular Biology",Genome Research,4759
"Biochemistry, Genetics and Molecular Biology",Biomolecules,4745
"Biochemistry, Genetics and Molecular Biology",Plant Cell Reports,4711
"Biochemistry, Genetics and Molecular Biology",Shodhganga,4704
"Biochemistry, Genetics and Molecular Biology",Cureus,4699
"Biochemistry, Genetics and Molecular Biology",The Plant Cell,4688
"Biochemistry, Genetics and Molecular Biology",Physiologia Plantarum,4676
"Biochemistry, Genetics and Molecular Biology",Organic Letters,4668
"Biochemistry, Genetics and Molecular Biology",Journal of Food Protection,4615
"Biochemistry, Genetics and Molecular Biology",Journal of Economic Entomology,4593
"Biochemistry, Genetics and Molecular Biology",Chemistry - A European Journal,4574
"Biochemistry, Genetics and Molecular Biology",Journal of Applied Physiology,4569
"Biochemistry, Genetics and Molecular Biology",The Plant Journal,4557
"Biochemistry, Genetics and Molecular Biology",InTech eBooks,4555
"Biochemistry, Genetics and Molecular Biology",American Journal of Botany,4547
"Biochemistry, Genetics and Molecular Biology",Journal of Lipid Research,4546
"Biochemistry, Genetics and Molecular Biology",Endocrine Abstracts,4540
"Biochemistry, Genetics and Molecular Biology",Organic & Biomolecular Chemistry,4539
"Biochemistry, Genetics and Molecular Biology",Talanta,4518
"Biochemistry, Genetics and Molecular Biology",DMW - Deutsche Medizinische Wochenschrift,4517
"Biochemistry, Genetics and Molecular Biology",Cytogenetic and Genome Research,4515
"Biochemistry, Genetics and Molecular Biology",Theoretical and Applied Genetics,4491
"Biochemistry, Genetics and Molecular Biology",Cellular Signalling,4474
"Biochemistry, Genetics and Molecular Biology",The American Journal of the Medical Sciences,4471
"Biochemistry, Genetics and Molecular Biology",Trends in Genetics,4451
"Biochemistry, Genetics and Molecular Biology","Encyclopedic Dictionary of Genetics, Genomics and Proteomics",4448
"Biochemistry, Genetics and Molecular Biology",BioEssays,4446
"Biochemistry, Genetics and Molecular Biology",Jaypee Brothers Medical Publishers (P) Ltd. eBooks,4446
"Biochemistry, Genetics and Molecular Biology",The Medical Journal of Australia,4395
"Biochemistry, Genetics and Molecular Biology",Neuroscience,4385
"Biochemistry, Genetics and Molecular Biology",Developmental Dynamics,4376
"Biochemistry, Genetics and Molecular Biology",Journal of Hepatology,4372
"Biochemistry, Genetics and Molecular Biology",The Journal of Pediatrics,4365
"Biochemistry, Genetics and Molecular Biology",Genome biology,4358
"Biochemistry, Genetics and Molecular Biology",Biochimica et Biophysica Acta,4355
"Biochemistry, Genetics and Molecular Biology",Biochimica et Biophysica Acta (BBA) - Nucleic Acids and Protein Synthesis,4352
"Biochemistry, Genetics and Molecular Biology",ENCODE Datasets,4341
"Biochemistry, Genetics and Molecular Biology",Science Signaling,4330
"Biochemistry, Genetics and Molecular Biology",RNA,4314
"Biochemistry, Genetics and Molecular Biology",Developmental Cell,4306
"Biochemistry, Genetics and Molecular Biology",Journal of Experimental Botany,4300
"Biochemistry, Genetics and Molecular Biology",Nature Cell Biology,4290
"Biochemistry, Genetics and Molecular Biology",Microorganisms,4286
"Biochemistry, Genetics and Molecular Biology",Molecular Endocrinology,4277
"Biochemistry, Genetics and Molecular Biology",Carbohydrate Research,4270
"Biochemistry, Genetics and Molecular Biology",Journal of Pharmaceutical Sciences,4268
"Biochemistry, Genetics and Molecular Biology",European Food Research and Technology,4266
"Biochemistry, Genetics and Molecular Biology",Open Repository and Bibliography (University of Liège),4259
"Biochemistry, Genetics and Molecular Biology",Human Mutation,4255
"Biochemistry, Genetics and Molecular Biology",Animals,4236
"Biochemistry, Genetics and Molecular Biology",Journal of the American Academy of Dermatology,4203
"Biochemistry, Genetics and Molecular Biology",European Journal of Cancer Supplements,4177
"Biochemistry, Genetics and Molecular Biology",Anhui nongye kexue,4174
"Biochemistry, Genetics and Molecular Biology",Journal of Proteome Research,4164
"Biochemistry, Genetics and Molecular Biology",Journal of Inherited Metabolic Disease,4163
"Biochemistry, Genetics and Molecular Biology",Ghent University Academic Bibliography (Ghent University),4160
"Biochemistry, Genetics and Molecular Biology",Journal of Ethnopharmacology,4152
"Biochemistry, Genetics and Molecular Biology",RePEc: Research Papers in Economics,4150
"Biochemistry, Genetics and Molecular Biology",AIP conference proceedings,4150
"Biochemistry, Genetics and Molecular Biology",Chemischer Informationsdienst Organische Chemie,4143
"Biochemistry, Genetics and Molecular Biology",Journal of Cellular and Molecular Medicine,4138
"Biochemistry, Genetics and Molecular Biology",Global Biodiversity Information Facility,4133
"Biochemistry, Genetics and Molecular Biology",The Journal of Comparative Neurology,4123
"Biochemistry, Genetics and Molecular Biology",Journal of the American College of Cardiology,4121
"Biochemistry, Genetics and Molecular Biology",Kidney International,4117
"Biochemistry, Genetics and Molecular Biology",Journal of Craniofacial Surgery,4100
"Biochemistry, Genetics and Molecular Biology",Tumor Biology,4070
"Biochemistry, Genetics and Molecular Biology",European Journal of Human Genetics,4066
"Biochemistry, Genetics and Molecular Biology",Time to knit,4058
"Biochemistry, Genetics and Molecular Biology",YAKUGAKU ZASSHI,4052
"Biochemistry, Genetics and Molecular Biology",Mutation research. Fundamental and molecular mechanisms of mutagenesis,4049
"Biochemistry, Genetics and Molecular Biology",Journal of Controlled Release,4048
"Biochemistry, Genetics and Molecular Biology",Nature Structural & Molecular Biology,4037
"Biochemistry, Genetics and Molecular Biology",iScience,4037
"Biochemistry, Genetics and Molecular Biology",Plant Science,4028
"Biochemistry, Genetics and Molecular Biology",PeerJ,4003
"Biochemistry, Genetics and Molecular Biology",Heliyon,3993
"Biochemistry, Genetics and Molecular Biology",Radiopaedia.org,3991
"Biochemistry, Genetics and Molecular Biology",Molecular and Cellular Endocrinology,3968
"Biochemistry, Genetics and Molecular Biology",UCL Discovery (University College London),3965
"Biochemistry, Genetics and Molecular Biology",The Journal of General Physiology,3960
"Biochemistry, Genetics and Molecular Biology",Molecular Genetics and Metabolism,3943
"Biochemistry, Genetics and Molecular Biology",OhioLink ETD Center (Ohio Library and Information Network),3941
"Biochemistry, Genetics and Molecular Biology",Bone,3936
"Biochemistry, Genetics and Molecular Biology",Journal of Heredity,3929
"Biochemistry, Genetics and Molecular Biology",Plant Molecular Biology,3925
"Biochemistry, Genetics and Molecular Biology",Photochemistry and Photobiology,3923
"Biochemistry, Genetics and Molecular Biology",Queensland's institutional digital repository (The University of Queensland),3897
"Biochemistry, Genetics and Molecular Biology",Frontiers in Physiology,3887
"Biochemistry, Genetics and Molecular Biology",Journal of Histochemistry & Cytochemistry,3884
"Biochemistry, Genetics and Molecular Biology",Structure,3876
