Field,Source,Works
"Economics, Econometrics and Finance",Journal of the American Medical Association,5611
"Economics, Econometrics and Finance",Digital Repository (National Repository of Grey Literature),5504
"Economics, Econometrics and Finance",The American Historical Review,5427
"Economics, Econometrics and Finance",American Economic Review,5227
"Economics, Econometrics and Finance",The New Palgrave Dictionary of Economics,5139
"Economics, Econometrics and Finance",Electronic Enlightenment Scholarly Edition of Correspondence,4850
"Economics, Econometrics and Finance",Journal of Banking & Finance,4782
"Economics, Econometrics and Finance",The Journal of Urology,4776
"Economics, Econometrics and Finance",The Economic History Review,4745
"Economics, Econometrics and Finance",Health Affairs,4738
"Economics, Econometrics and Finance",Economic Modelling,4674
"Economics, Econometrics and Finance",Gabler Verlag eBooks,4613
"Economics, Econometrics and Finance",Institutional Digital Library (Federal Senate),4584
"Economics, Econometrics and Finance",Nature,4531
"Economics, Econometrics and Finance",Science,4501
"Economics, Econometrics and Finance",Energy Economics,4470
"Economics, Econometrics and Finance",AEA Randomized Controlled Trials,4397
"Economics, Econometrics and Finance",Finance research letters,4396
"Economics, Econometrics and Finance",Waseda University Repository (Waseda University),4333
"Economics, Econometrics and Finance",PharmacoEconomics & Outcomes News,4328
"Economics, Econometrics and Finance",The Review of Economics and Statistics,4327
"Economics, Econometrics and Finance",Revue économique,4224
"Economics, Econometrics and Finance",Physica A Statistical Mechanics and its Applications,4216
"Economics, Econometrics and Finance",The Journal of Economic History,4207
"Economics, Econometrics and Finance",Environmental Science and Pollution Research,4127
"Economics, Econometrics and Finance",Prace Naukowe Uniwersytetu Ekonomicznego we Wrocławiu,4127
"Economics, Econometrics and Finance",Journal of Clinical Oncology,4116
"Economics, Econometrics and Finance",American Journal of Agricultural Economics,4048
"Economics, Econometrics and Finance",Palgrave Macmillan eBooks,4041
"Economics, Econometrics and Finance",Policy Press eBooks,4037
"Economics, Econometrics and Finance",PLoS ONE,4035
"Economics, Econometrics and Finance",Palgrave Macmillan US eBooks,3948
"Economics, Econometrics and Finance",Duo Research Archive (University of Oslo),3946
"Economics, Econometrics and Finance",New England Journal of Medicine,3918
"Economics, Econometrics and Finance",IMF Staff Country Reports,3901
"Economics, Econometrics and Finance",Archivio istituzionale della ricerca (Alma Mater Studiorum Università di Bologna),3896
"Economics, Econometrics and Finance",Who's Who,3887
"Economics, Econometrics and Finance",Virtual Community of Pathological Anatomy (University of Castilla La Mancha),3870
"Economics, Econometrics and Finance",Ghent University Academic Bibliography (Ghent University),3819
"Economics, Econometrics and Finance",Economica,3813
"Economics, Econometrics and Finance",The Quarterly Journal of Economics,3792
"Economics, Econometrics and Finance",Forefront Group,3745
"Economics, Econometrics and Finance",Journal of money credit and banking,3713
"Economics, Econometrics and Finance",Edinburgh University Press eBooks,3667
"Economics, Econometrics and Finance",The MIT Press eBooks,3629
"Economics, Econometrics and Finance",Journal of Economic Dynamics and Control,3573
"Economics, Econometrics and Finance",European Economic Review,3515
"Economics, Econometrics and Finance",Academy of Management Proceedings,3470
"Economics, Econometrics and Finance",Energy Policy,3323
"Economics, Econometrics and Finance",Research Square (Research Square),3304
"Economics, Econometrics and Finance",Journal of International Economics,3301
"Economics, Econometrics and Finance",MPRA Paper,3298
"Economics, Econometrics and Finance",Journal of Economic Theory,3279
"Economics, Econometrics and Finance",Econometric Reviews,3242
"Economics, Econometrics and Finance",Econometrica,3226
"Economics, Econometrics and Finance",ICPSR Data Holdings,3209
"Economics, Econometrics and Finance",eScholarship (California Digital Library),3182
"Economics, Econometrics and Finance",Journal of Econometrics,3163
"Economics, Econometrics and Finance",International Review of Economics & Finance,3135
"Economics, Econometrics and Finance",Journal of International Money and Finance,3116
"Economics, Econometrics and Finance",VS Verlag für Sozialwissenschaften eBooks,3101
"Economics, Econometrics and Finance",Journal of Monetary Economics,3101
"Economics, Econometrics and Finance",Resources Policy,3085
"Economics, Econometrics and Finance",Columbia University Press eBooks,3085
"Economics, Econometrics and Finance",Harvard University Press eBooks,3007
"Economics, Econometrics and Finance",The Annals of the American Academy of Political and Social Science,2989
"Economics, Econometrics and Finance",Socio-Environmental Systems Modeling,2968
"Economics, Econometrics and Finance",World Economy,2952
"Economics, Econometrics and Finance",Film Quarterly,2922
"Economics, Econometrics and Finance",University of North Texas Digital Library (University of North Texas),2903
"Economics, Econometrics and Finance",London School of Economics and Political Science Research Online (London School of Economics and Political Science),2886
"Economics, Econometrics and Finance",Lund University Publications Student Papers (Lund University),2886
"Economics, Econometrics and Finance",Lecture notes in computer science,2884
"Economics, Econometrics and Finance",Journal of Economic Issues,2874
"Economics, Econometrics and Finance",University of Maribor digital library (University of Maribor),2855
"Economics, Econometrics and Finance","Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",2836
"Economics, Econometrics and Finance",Journal of Macroeconomics,2801
"Economics, Econometrics and Finance",DSpace@MIT (Massachusetts Institute of Technology),2756
"Economics, Econometrics and Finance",Journal of the American Statistical Association,2723
"Economics, Econometrics and Finance",University Microfilms International eBooks,2699
"Economics, Econometrics and Finance",Экономика и предпринимательство,2690
"Economics, Econometrics and Finance",Deep Blue (University of Michigan),2678
"Economics, Econometrics and Finance",Urban Studies,2667
"Economics, Econometrics and Finance",CyberLeninK (CyberLeninka),2648
"Economics, Econometrics and Finance",The Review of Economic Studies,2642
"Economics, Econometrics and Finance",Yale University Press eBooks,2635
"Economics, Econometrics and Finance",Canadian Journal of Economics/Revue canadienne d économique,2627
"Economics, Econometrics and Finance",AJN American Journal of Nursing,2623
"Economics, Econometrics and Finance",Empirical Economics,2612
"Economics, Econometrics and Finance",ZooKeys,2605
"Economics, Econometrics and Finance",Lirias (KU Leuven),2605
"Economics, Econometrics and Finance",Scientific American,2603
"Economics, Econometrics and Finance",Manchester University Press eBooks,2591
"Economics, Econometrics and Finance",PORTO Publications Open Repository TOrino (Politecnico di Torino),2580
"Economics, Econometrics and Finance",International Review of Financial Analysis,2543
"Economics, Econometrics and Finance",Munich Personal RePEc Archive (Munich University),2522
"Economics, Econometrics and Finance",Economic Geography,2514
"Economics, Econometrics and Finance",Financial Analysts Journal,2501
"Economics, Econometrics and Finance",Management Science,2493
"Economics, Econometrics and Finance",Journal of Futures Markets,2449
"Economics, Econometrics and Finance",Nursing Standard,2427
"Economics, Econometrics and Finance",British Academy eBooks,2417
"Economics, Econometrics and Finance",International Journal of Technology Assessment in Health Care,2409
"Economics, Econometrics and Finance",The World Bank eBooks,2407
"Economics, Econometrics and Finance",OpenGrey (Institut de l'Information Scientifique et Technique),2399
"Economics, Econometrics and Finance",Journal of Cleaner Production,2397
"Economics, Econometrics and Finance",Chapters,2384
"Economics, Econometrics and Finance",Economics bulletin,2376
"Economics, Econometrics and Finance",ARCA (Università Ca' Foscari Venezia),2357
"Economics, Econometrics and Finance",OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),2344
"Economics, Econometrics and Finance",Journal of Economic Behavior & Organization,2341
"Economics, Econometrics and Finance",FOXBusiness,2341
"Economics, Econometrics and Finance",United Nations Treaty Series,2328
"Economics, Econometrics and Finance",Medical Care,2326
"Economics, Econometrics and Finance",World Development,2325
"Economics, Econometrics and Finance",Ecological Economics,2318
"Economics, Econometrics and Finance",De Economist,2317
"Economics, Econometrics and Finance",Journal of Financial Economics,2290
"Economics, Econometrics and Finance",OECD economic outlook,2274
"Economics, Econometrics and Finance",Journal of Public Economics,2264
"Economics, Econometrics and Finance",International Affairs,2264
"Economics, Econometrics and Finance",Kumamoto University Repository (Kumamoto University),2261
"Economics, Econometrics and Finance",Iris (Roma Tre University),2258
"Economics, Econometrics and Finance",Quantitative Finance,2251
"Economics, Econometrics and Finance",Michigan Law Review,2247
"Economics, Econometrics and Finance",OECD eBooks,2232
"Economics, Econometrics and Finance",Economic Inquiry,2224
"Economics, Econometrics and Finance","Nova Science Publishers (Nova Science Publishers, Inc.)",2195
"Economics, Econometrics and Finance",Research Portal (King's College London),2193
"Economics, Econometrics and Finance",Advances in Economics Management and Political Sciences,2184
"Economics, Econometrics and Finance",Jahrbücher für Nationalökonomie und Statistik,2183
"Economics, Econometrics and Finance",Africa Research Bulletin Economic Financial and Technical Series,2183
"Economics, Econometrics and Finance",BMJ,2177
"Economics, Econometrics and Finance",e-Competitions Bulletin,2168
"Economics, Econometrics and Finance",Economic Record,2153
"Economics, Econometrics and Finance",International Economic Review,2147
"Economics, Econometrics and Finance",Lecture notes in economics and mathematical systems,2136
"Economics, Econometrics and Finance",Journal of Financial and Quantitative Analysis,2126
"Economics, Econometrics and Finance",BMJ,2118
"Economics, Econometrics and Finance",Cornell University Press eBooks,2118
"Economics, Econometrics and Finance",Oxford Economic Papers,2104
"Economics, Econometrics and Finance",Public Choice,2103
"Economics, Econometrics and Finance",Preprints.org,2100
"Economics, Econometrics and Finance",Journal of Development Economics,2093
"Economics, Econometrics and Finance",The Journal of Portfolio Management,2092
"Economics, Econometrics and Finance",ANU Open Research (Australian National University),2092
"Economics, Econometrics and Finance",Persée (Ministère de lEnseignement supérieur et de la Recherche),2082
"Economics, Econometrics and Finance",Nomos Verlagsgesellschaft mbH & Co. KG eBooks,2081
"Economics, Econometrics and Finance",Prace Naukowe Akademii Ekonomicznej we Wrocławiu,2070
"Economics, Econometrics and Finance",Bristol University Press eBooks,2068
"Economics, Econometrics and Finance",Archive of European Integration (AEI) (University of Pittsburgh),2060
"Economics, Econometrics and Finance",Alexandria (UniSG) (University of St.Gallen),2045
"Economics, Econometrics and Finance",History of Political Economy,2033
"Economics, Econometrics and Finance",Calhoun: The Naval Postgraduate School Institutional Archive (Naval Postgraduate School),2019
"Economics, Econometrics and Finance",American Political Science Review,2006
"Economics, Econometrics and Finance",Industrial and Labor Relations Review,1991
"Economics, Econometrics and Finance",University of Toronto Press eBooks,1980
"Economics, Econometrics and Finance",McGill-Queen's University Press eBooks,1973
"Economics, Econometrics and Finance",Deutscher Universitätsverlag eBooks,1957
"Economics, Econometrics and Finance",European Journal of Operational Research,1955
"Economics, Econometrics and Finance",IOP Conference Series Earth and Environmental Science,1950
"Economics, Econometrics and Finance","Advances in economics, business and management research/Advances in Economics, Business and Management Research",1949
"Economics, Econometrics and Finance",Journal of Risk & Insurance,1926
"Economics, Econometrics and Finance",Lecture notes in networks and systems,1926
"Economics, Econometrics and Finance",Lund University Publications (Lund University),1918
"Economics, Econometrics and Finance",Journal of Business and Economic Statistics,1912
"Economics, Econometrics and Finance",AIP conference proceedings,1894
"Economics, Econometrics and Finance",Recherches économiques de Louvain,1890
"Economics, Econometrics and Finance",Journal of Environmental Management,1890
"Economics, Econometrics and Finance",Business Inform,1889
"Economics, Econometrics and Finance",Amsterdam University Press eBooks,1885
"Economics, Econometrics and Finance",Queensland's institutional digital repository (The University of Queensland),1883
"Economics, Econometrics and Finance",Review of Financial Studies,1881
"Economics, Econometrics and Finance",Emerging Markets Finance and Trade,1879
"Economics, Econometrics and Finance",Finance and Economics Discussion Series,1878
"Economics, Econometrics and Finance",BIBSYS Brage (BIBSYS (Norway)),1874
"Economics, Econometrics and Finance",Health Economics,1874
"Economics, Econometrics and Finance",Stochastic Processes and their Applications,1872
"Economics, Econometrics and Finance",BOA (University of Milano-Bicocca),1871
"Economics, Econometrics and Finance",CFA Digest,1868
"Economics, Econometrics and Finance",The North American Journal of Economics and Finance,1860
"Economics, Econometrics and Finance",Chemical & Engineering News,1848
"Economics, Econometrics and Finance",Regional Studies,1813
"Economics, Econometrics and Finance",Applied Financial Economics,1800
"Economics, Econometrics and Finance",BMC Health Services Research,1797
"Economics, Econometrics and Finance",Economic Theory,1788
"Economics, Econometrics and Finance",Environmental and Resource Economics,1787
"Economics, Econometrics and Finance",Journal of Policy Modeling,1787
"Economics, Econometrics and Finance",Journal of Mathematical Economics,1782
"Economics, Econometrics and Finance",Review of World Economics,1764
"Economics, Econometrics and Finance",Environment and Planning A Economy and Space,1753
"Economics, Econometrics and Finance",Time to knit,1749
"Economics, Econometrics and Finance",SPIRE - Sciences Po Institutional REpository,1738
"Economics, Econometrics and Finance",Intereconomics,1734
"Economics, Econometrics and Finance",Docs.school Publications,1721
"Economics, Econometrics and Finance",International Journal of Finance & Economics,1718
"Economics, Econometrics and Finance",theses.fr (ABES),1714
"Economics, Econometrics and Finance",The Business History Review,1710
"Economics, Econometrics and Finance",University of Nairobi Research Archive (University of Nairobi),1707
"Economics, Econometrics and Finance",Journal of risk and financial management,1702
"Economics, Econometrics and Finance",The Medical Journal of Australia,1693
"Economics, Econometrics and Finance",Land Economics,1686
"Economics, Econometrics and Finance",Foreign Affairs,1682
"Economics, Econometrics and Finance",Stanford University Press eBooks,1680
"Economics, Econometrics and Finance",International Journal of Environmental Research and Public Health,1677
"Economics, Econometrics and Finance",E3S Web of Conferences,1677
"Economics, Econometrics and Finance",Contributions to economics,1673
"Economics, Econometrics and Finance",Social Science Open Access Repository (GESIS – Leibniz Institute for the Social Sciences),1673
"Economics, Econometrics and Finance",EKONOMIKA I UPRAVLENIE PROBLEMY RESHENIYA,1670
"Economics, Econometrics and Finance",International Journal For Multidisciplinary Research,1667
"Economics, Econometrics and Finance",Harvard Law Review,1658
"Economics, Econometrics and Finance",Вісник Житомирського державного технологічного університету. Серія: Економічні науки // THE JOURNAL OF ZHYTOMYR STATE TECHNOLOGICAL UNIVERSITY. SERIES: ECONOMICS,1654
"Economics, Econometrics and Finance","Cornerstone (Minnesota State University, Mankato)",1654
"Economics, Econometrics and Finance",Wirtschaftsdienst,1654
"Economics, Econometrics and Finance",Review of International Economics,1646
"Economics, Econometrics and Finance",Journal of Post Keynesian Economics,1641
"Economics, Econometrics and Finance",Research in International Business and Finance,1632
"Economics, Econometrics and Finance",Regional Science and Urban Economics,1630
"Economics, Econometrics and Finance",The Indian Economic Journal,1629
"Economics, Econometrics and Finance",Boydell and Brewer eBooks,1628
"Economics, Econometrics and Finance",Energy,1628
"Economics, Econometrics and Finance",Journal of Regional Science,1622
"Economics, Econometrics and Finance",Revue d économie financière,1616
"Economics, Econometrics and Finance",Macroeconomic Dynamics,1614
"Economics, Econometrics and Finance",Papers of the Regional Science Association,1609
"Economics, Econometrics and Finance",The Scientific Issues of Ternopil Volodymyr Hnatiuk National Pedagogical University Series pedagogy,1607
"Economics, Econometrics and Finance",Health Policy,1603
"Economics, Econometrics and Finance",Revista de Direito Administrativo,1603
"Economics, Econometrics and Finance",DSpace VŠB-TUO (VŠB-TUO),1602
"Economics, Econometrics and Finance",Ciencia Latina Revista Científica Multidisciplinar,1600
"Economics, Econometrics and Finance",Journal of Environmental Economics and Management,1600
"Economics, Econometrics and Finance",Journals & Books Hosting (International Knowledge Sharing Platform),1597
"Economics, Econometrics and Finance",PharmacoEconomics,1595
"Economics, Econometrics and Finance",Manchester School,1592
"Economics, Econometrics and Finance",Florence Research (University of Florence),1588
"Economics, Econometrics and Finance",Liverpool University Press eBooks,1585
"Economics, Econometrics and Finance",Hart Publishing eBooks,1582
"Economics, Econometrics and Finance",Journal of Urban Economics,1581
"Economics, Econometrics and Finance",Journal of the American College of Cardiology,1579
"Economics, Econometrics and Finance",Foreign Law Guide,1571
"Economics, Econometrics and Finance",Juridical scientific and electronic journal,1558
"Economics, Econometrics and Finance",IGI Global eBooks,1554
"Economics, Econometrics and Finance",Social Science & Medicine,1548
"Economics, Econometrics and Finance",OhioLink ETD Center (Ohio Library and Information Network),1544
"Economics, Econometrics and Finance",Statistics & Probability Letters,1534
"Economics, Econometrics and Finance",Biodiversity Heritage Library (Smithsonian Institution),1534
"Economics, Econometrics and Finance",National Tax Journal,1529
"Economics, Econometrics and Finance",IRIS UNIMORE (University of Modena and Reggio Emilia),1522
"Economics, Econometrics and Finance",Library of Congress. Congressional Research Service,1520
"Economics, Econometrics and Finance",The Quarterly Review of Economics and Finance,1514
"Economics, Econometrics and Finance",Technological Forecasting and Social Change,1511
"Economics, Econometrics and Finance",Journal of Applied Econometrics,1507
"Economics, Econometrics and Finance",Atlantic Economic Journal,1502
"Economics, Econometrics and Finance",Cambridge Journal of Economics,1502
"Economics, Econometrics and Finance",Zurich Open Repository and Archive (University of Zurich),1500
"Economics, Econometrics and Finance",International Journal of Economics and Finance,1489
"Economics, Econometrics and Finance",INFLIBNET,1488
"Economics, Econometrics and Finance",Inpharma Weekly,1478
"Economics, Econometrics and Finance",Economic Analysis and Policy,1476
"Economics, Econometrics and Finance",Journal of International Financial Markets Institutions and Money,1473
"Economics, Econometrics and Finance",University of Groningen research database (University of Groningen / Centre for Information Technology),1469
"Economics, Econometrics and Finance",Commercial Research,1468
"Economics, Econometrics and Finance",Environment Development and Sustainability,1465
"Economics, Econometrics and Finance",Insurance Mathematics and Economics,1464
"Economics, Econometrics and Finance",Energies,1463
"Economics, Econometrics and Finance",CINECA IRIS Institutial research information system (University of Pisa),1459
"Economics, Econometrics and Finance",Scandinavian Journal of Economics,1457
"Economics, Econometrics and Finance",Journal of Economic Studies,1451
"Economics, Econometrics and Finance",Computational Economics,1450
"Economics, Econometrics and Finance",Bulletin of Miscellaneous Information (Royal Gardens Kew),1439
"Economics, Econometrics and Finance",Pacific-Basin Finance Journal,1427
"Economics, Econometrics and Finance",National Institute Economic Review,1426
"Economics, Econometrics and Finance",Real Estate Economics,1424
"Economics, Econometrics and Finance",The Journal of Real Estate Finance and Economics,1419
"Economics, Econometrics and Finance",The English Historical Review,1410
"Economics, Econometrics and Finance",Hispana,1410
"Economics, Econometrics and Finance",Financial Review,1405
"Economics, Econometrics and Finance",International Economic Journal,1402
"Economics, Econometrics and Finance",Open University of Cape Town (University of Cape Town),1402
"Economics, Econometrics and Finance",U-PAD Unimc - Open Digital Publications (University of Macerata),1400
"Economics, Econometrics and Finance",South African Journal of Economics,1399
"Economics, Econometrics and Finance",RAND Corporation eBooks,1397
"Economics, Econometrics and Finance",NBER Chapters,1392
"Economics, Econometrics and Finance",Journal of Air Transport Management,1387
"Economics, Econometrics and Finance",International Journal of Forecasting,1387
"Economics, Econometrics and Finance",Voprosy Ekonomiki,1384
"Economics, Econometrics and Finance",Human Rights Documents online,1382
"Economics, Econometrics and Finance",Bloomsbury Academic eBooks,1379
"Economics, Econometrics and Finance",Journal of Marketing,1378
"Economics, Econometrics and Finance",Social Choice and Welfare,1373
"Economics, Econometrics and Finance",Housing Studies,1373
"Economics, Econometrics and Finance",Structural Change and Economic Dynamics,1373
"Economics, Econometrics and Finance",The Annals of Regional Science,1372
"Economics, Econometrics and Finance",Berghahn Books,1353
"Economics, Econometrics and Finance",Digital Access to Scholarship at Harvard (DASH) (Harvard University),1350
"Economics, Econometrics and Finance",International Journal of Energy Economics and Policy,1350
"Economics, Econometrics and Finance",The Journal of Financial Research,1336
"Economics, Econometrics and Finance",Research Policy,1335
"Economics, Econometrics and Finance",Annals of Internal Medicine,1333
"Economics, Econometrics and Finance",ABA banking journal,1325
"Economics, Econometrics and Finance",Brazilian Journal of Political Economy,1325
"Economics, Econometrics and Finance",SPIRE - Sciences Po Institutional REpository,1324
"Economics, Econometrics and Finance",American Journal of Economics and Sociology,1311
"Economics, Econometrics and Finance",Challenge,1311
"Economics, Econometrics and Finance",Gabler eBooks,1309
"Economics, Econometrics and Finance",The Yale Law Journal,1308
"Economics, Econometrics and Finance",Pharmaceutical journal/The pharmaceutical journal,1304
"Economics, Econometrics and Finance",Peter Lang eBooks,1304
"Economics, Econometrics and Finance",Managerial and Decision Economics,1301
"Economics, Econometrics and Finance","Advances in finance, accounting, and economics book series",1299
"Economics, Econometrics and Finance",Politická ekonomie,1299
"Economics, Econometrics and Finance",Open Collections,1299
"Economics, Econometrics and Finance",Efektyvna ekonomika,1298
"Economics, Econometrics and Finance",Open Repository and Bibliography (University of Liège),1298
"Economics, Econometrics and Finance",Columbia Law Review,1298
"Economics, Econometrics and Finance",Prace Naukowe / Akademia Ekonomiczna w Katowicach,1297
"Economics, Econometrics and Finance",Metroeconomica,1296
"Economics, Econometrics and Finance",Journal of Asian Economics,1296
"Economics, Econometrics and Finance",Springer proceedings in business and economics,1295
"Economics, Econometrics and Finance",Oxford Bulletin of Economics and Statistics,1295
"Economics, Econometrics and Finance",Journal of Empirical Finance,1288
"Economics, Econometrics and Finance",International Finance Discussion Paper,1285
"Economics, Econometrics and Finance",UNM’s Digital Repository (University of New Mexico),1281
"Economics, Econometrics and Finance",Games and Economic Behavior,1281
"Economics, Econometrics and Finance",Mathematical Social Sciences,1271
"Economics, Econometrics and Finance",The Pakistan Development Review,1264
"Economics, Econometrics and Finance",ISEAS Publishing eBooks,1262
"Economics, Econometrics and Finance",University of Pittsburgh Digital Library,1259
"Economics, Econometrics and Finance",Kyklos,1258
"Economics, Econometrics and Finance",University of Minnesota Digital Conservancy (University of Minnesota),1258
"Economics, Econometrics and Finance",Economic Affairs,1258
"Economics, Econometrics and Finance",UMI eBooks,1257
"Economics, Econometrics and Finance",Frontiers in Environmental Science,1256
"Economics, Econometrics and Finance",ePrints Soton (University of Southampton),1256
"Economics, Econometrics and Finance",Health Services Research,1255
"Economics, Econometrics and Finance",Heliyon,1254
"Economics, Econometrics and Finance",Research portal (Tilburg University),1254
"Economics, Econometrics and Finance",Anhui nongye kexue,1253
"Economics, Econometrics and Finance",Research Repository (Delft University of Technology),1252
"Economics, Econometrics and Finance",Benezit Dictionary of Artists,1250
"Economics, Econometrics and Finance",Huadong jingji guanli,1246
"Economics, Econometrics and Finance",Journal of Health Economics,1244
"Economics, Econometrics and Finance",Journal of Health Politics Policy and Law,1237
"Economics, Econometrics and Finance",Utrecht University Repository (Utrecht University),1236
"Economics, Econometrics and Finance",National Bureau of Economic Research,1235
"Economics, Econometrics and Finance",Universidad César Vallejo,1235
"Economics, Econometrics and Finance",European Journal of Political Economy,1233
"Economics, Econometrics and Finance",American Journal of Public Health,1223
"Economics, Econometrics and Finance",Journal of Forecasting,1220
"Economics, Econometrics and Finance",International Journal of Theoretical and Applied Finance,1219
"Economics, Econometrics and Finance",Aisberg (University of Bergamo),1218
"Economics, Econometrics and Finance",Redalyc (Universidad Autónoma del Estado de México),1212
"Economics, Econometrics and Finance",Acta Petrologica Sinica,1211
"Economics, Econometrics and Finance",DUGi Fons Especials Digital Repository (University of Girona),1208
"Economics, Econometrics and Finance",The Journal of Interdisciplinary History,1208
"Economics, Econometrics and Finance",Rowman & Littlefield Publishers eBooks,1199
"Economics, Econometrics and Finance",Dépôt institutionnel de l'Université libre de Bruxelles (Université Libre de Bruxelles),1199
"Economics, Econometrics and Finance",SHS Web of Conferences,1197
"Economics, Econometrics and Finance",Ovidius University Annals Economic Sciences Series,1195
"Economics, Econometrics and Finance",Annals of Operations Research,1193
"Economics, Econometrics and Finance",Mathematics,1191
"Economics, Econometrics and Finance",UNC Libraries,1187
"Economics, Econometrics and Finance",eCommons (Cornell University),1182
"Economics, Econometrics and Finance",University of Pennsylvania Press eBooks,1181
"Economics, Econometrics and Finance",VUBIR (Vrije Universiteit Brussel),1179
"Economics, Econometrics and Finance",European Journal of Public Health,1176
"Economics, Econometrics and Finance",Cogent Economics & Finance,1174
"Economics, Econometrics and Finance",Universiteitsbibliotheek EUR,1173
"Economics, Econometrics and Finance",United Nations eBooks,1171
"Economics, Econometrics and Finance",Political Science Quarterly,1171
"Economics, Econometrics and Finance",L Actualité économique,1165
"Economics, Econometrics and Finance",World Bank eBooks,1164
"Economics, Econometrics and Finance",Psychiatric News,1163
"Economics, Econometrics and Finance",International Journal of Industrial Organization,1162
"Economics, Econometrics and Finance",Medical Decision Making,1161
"Economics, Econometrics and Finance",Financial and credit activity problems of theory and practice,1161
"Economics, Econometrics and Finance",Econometric Theory,1160
"Economics, Econometrics and Finance",Journal of Comparative Economics,1155
"Economics, Econometrics and Finance",The Journal of Business,1155
"Economics, Econometrics and Finance",Journal of Economics,1154
"Economics, Econometrics and Finance",Journal of Economic Literature,1148
"Economics, Econometrics and Finance",International Journal of Social Economics,1144
"Economics, Econometrics and Finance",Advanced materials research,1142
"Economics, Econometrics and Finance",SpringerReference,1141
"Economics, Econometrics and Finance",Highlights in Business Economics and Management,1140
"Economics, Econometrics and Finance",DR-NTU (Nanyang Technological University),1140
"Economics, Econometrics and Finance",OECD Economics Department working papers,1132
"Economics, Econometrics and Finance",Credit and Capital Markets – Kredit und Kapital,1132
"Economics, Econometrics and Finance",American Journal of Health-System Pharmacy,1129
"Economics, Econometrics and Finance",Economic scope,1127
"Economics, Econometrics and Finance",Frontiers in Public Health,1120
"Economics, Econometrics and Finance",Hispanic American Historical Review,1120
"Economics, Econometrics and Finance",China Economic Review,1114
"Economics, Econometrics and Finance",Journal of International Trade,1114
"Economics, Econometrics and Finance",Review of Political Economy,1109
