Field,Source,Works
Agricultural and Biological Sciences,ZooKeys,5787
Agricultural and Biological Sciences,Food Science,5768
Agricultural and Biological Sciences,Journal of Plant Nutrition and Soil Science,5754
Agricultural and Biological Sciences,Bulletin de la Société entomologique de France,5754
Agricultural and Biological Sciences,Virology,5742
Agricultural and Biological Sciences,Agricultural and Biological Chemistry,5735
Agricultural and Biological Sciences,Theriogenology,5723
Agricultural and Biological Sciences,American Journal of Potato Research,5708
Agricultural and Biological Sciences,E3S Web of Conferences,5627
Agricultural and Biological Sciences,Journal of Biological Chemistry,5560
Agricultural and Biological Sciences,European Journal of Plant Pathology,5540
Agricultural and Biological Sciences,DIGITAL.CSIC (Spanish National Research Council (CSIC)),5536
Agricultural and Biological Sciences,Journal of Bacteriology,5535
Agricultural and Biological Sciences,AFRICAN JOURNAL OF BIOTECHNOLOGY,5533
Agricultural and Biological Sciences,Insecticide and Acaricide Tests,5533
Agricultural and Biological Sciences,Japanese Journal of Crop Science,5527
Agricultural and Biological Sciences,EDIS,5526
Agricultural and Biological Sciences,Plant Cell & Environment,5507
Agricultural and Biological Sciences,Communications in Soil Science and Plant Analysis,5489
Agricultural and Biological Sciences,CGSPace A Repository of Agricultural Research Outputs (Consultative Group for International Agricultural Research),5475
Agricultural and Biological Sciences,Redalyc (Universidad Autónoma del Estado de México),5467
Agricultural and Biological Sciences,Jukuri (Natural Resources Institute Finland (Luke)),5448
Agricultural and Biological Sciences,International Journal of Food Science & Technology,5405
Agricultural and Biological Sciences,Journal of Food Protection,5400
Agricultural and Biological Sciences,The Lancet,5400
Agricultural and Biological Sciences,VTechWorks (Virginia Tech),5379
Agricultural and Biological Sciences,Weed Science,5378
Agricultural and Biological Sciences,Pest Management Science,5364
Agricultural and Biological Sciences,Bulletin de la Société Botanique de France,5360
Agricultural and Biological Sciences,Food Control,5322
Agricultural and Biological Sciences,Plant Science,5306
Agricultural and Biological Sciences,Industrial Crops and Products,5274
Agricultural and Biological Sciences,Oecologia,5247
Agricultural and Biological Sciences,South African Journal of Botany,5192
Agricultural and Biological Sciences,KTH Publication Database DiVA (KTH Royal Institute of Technology),5150
Agricultural and Biological Sciences,Digital Library of Theses and Dissertations  (Universidade de São Paulo),5125
Agricultural and Biological Sciences,ChemInform,5111
Agricultural and Biological Sciences,The American Biology Teacher,5103
Agricultural and Biological Sciences,BIO Web of Conferences,5068
Agricultural and Biological Sciences,Deutsche Entomologische Zeitschrift,5038
Agricultural and Biological Sciences,Journal of Entomology and Zoology Studies,5020
Agricultural and Biological Sciences,Journal of Plant Physiology,5018
Agricultural and Biological Sciences,Lume (Universidade Federal do Rio Grande do Sul),5009
Agricultural and Biological Sciences,Kew Bulletin,4981
Agricultural and Biological Sciences,Ciência Rural,4917
Agricultural and Biological Sciences,The Indian Journal of Animal Sciences,4879
Agricultural and Biological Sciences,Journal of Heredity,4819
Agricultural and Biological Sciences,The Auk,4814
Agricultural and Biological Sciences,ACTA AGRONOMICA SINICA,4754
Agricultural and Biological Sciences,University of Minnesota Digital Conservancy (University of Minnesota),4750
Agricultural and Biological Sciences,International Journal of Food Microbiology,4749
Agricultural and Biological Sciences,Insects,4735
Agricultural and Biological Sciences,Journal of Food Engineering,4698
Agricultural and Biological Sciences,International Journal of Plant & Soil Science,4698
Agricultural and Biological Sciences,Progress in Plant Protection,4682
Agricultural and Biological Sciences,Florida Entomologist,4681
Agricultural and Biological Sciences,African Journal of Agricultural Research,4656
Agricultural and Biological Sciences,AGU Fall Meeting Abstracts,4649
Agricultural and Biological Sciences,Carbohydrate Polymers,4647
Agricultural and Biological Sciences,Datasets - Sistema SALVE - ICMBio,4644
Agricultural and Biological Sciences,Postharvest Biology and Technology,4626
Agricultural and Biological Sciences,NIPPON SUISAN GAKKAISHI,4567
Agricultural and Biological Sciences,Berichte der Deutschen Botanischen Gesellschaft,4553
Agricultural and Biological Sciences,Bulletin of Entomological Research,4548
Agricultural and Biological Sciences,FEMS Microbiology Letters,4547
Agricultural and Biological Sciences,Environmental Science and Pollution Research,4528
Agricultural and Biological Sciences,Research Society and Development,4523
Agricultural and Biological Sciences,Journal of Chemical Ecology,4512
Agricultural and Biological Sciences,American Journal of Agricultural Economics,4499
Agricultural and Biological Sciences,Agricultural Water Management,4483
Agricultural and Biological Sciences,Forest Ecology and Management,4419
Agricultural and Biological Sciences,Archiv der Pharmazie,4414
Agricultural and Biological Sciences,International Journal of Advanced Biochemistry Research,4370
Agricultural and Biological Sciences,Soil and Tillage Research,4354
Agricultural and Biological Sciences,Chemistry of Natural Compounds,4347
Agricultural and Biological Sciences,Proceedings of the Royal Society B Biological Sciences,4325
Agricultural and Biological Sciences,Weed Technology,4318
Agricultural and Biological Sciences,Queensland's institutional digital repository (The University of Queensland),4317
Agricultural and Biological Sciences,Biological Control,4317
Agricultural and Biological Sciences,Archives of Virology,4311
Agricultural and Biological Sciences,Digital Repository (National Repository of Grey Literature),4309
Agricultural and Biological Sciences,Open PRAIRIE (South Dakota State University),4299
Agricultural and Biological Sciences,Journal of Ethnopharmacology,4298
Agricultural and Biological Sciences,Princeton University Press eBooks,4273
Agricultural and Biological Sciences,Journal of Pest Science,4266
Agricultural and Biological Sciences,British Poultry Science,4256
Agricultural and Biological Sciences,Australian Journal of Agricultural Research,4254
Agricultural and Biological Sciences,Genetics,4252
Agricultural and Biological Sciences,Horticulturae,4236
Agricultural and Biological Sciences,Transactions of the ASAE,4227
Agricultural and Biological Sciences,Soil Science,4224
Agricultural and Biological Sciences,Journal of the Institute of Brewing,4211
Agricultural and Biological Sciences,BMC Genomics,4183
Agricultural and Biological Sciences,Applied Soil Ecology,4175
Agricultural and Biological Sciences,Journal of Virology,4172
Agricultural and Biological Sciences,Aquaculture Research,4170
Agricultural and Biological Sciences,Revista Brasileira de Zootecnia,4159
Agricultural and Biological Sciences,CyberLeninK (CyberLeninka),4153
Agricultural and Biological Sciences,Journal of the American Oil Chemists Society,4140
Agricultural and Biological Sciences,Northern Horticulture,4139
Agricultural and Biological Sciences,Indian Journal of Horticulture,4117
Agricultural and Biological Sciences,Guangdong nongye kexue,4100
Agricultural and Biological Sciences,OpenGrey (Institut de l'Information Scientifique et Technique),4092
Agricultural and Biological Sciences,Computers and Electronics in Agriculture,4091
Agricultural and Biological Sciences,Food Science and Technology International,4088
Agricultural and Biological Sciences,Tropical Animal Health and Production,4074
Agricultural and Biological Sciences,Indian Journal of Genetics and Plant Breeding (The),4073
Agricultural and Biological Sciences,Journal of Ecology,4053
Agricultural and Biological Sciences,Choice Reviews Online,4030
Agricultural and Biological Sciences,arXiv (Cornell University),4001
Agricultural and Biological Sciences,Persée (Ministère de lEnseignement supérieur et de la Recherche),3986
Agricultural and Biological Sciences,Environmental and Experimental Botany,3970
Agricultural and Biological Sciences,Heliyon,3954
Agricultural and Biological Sciences,Die Naturwissenschaften,3952
Agricultural and Biological Sciences,Indian Forester,3935
Agricultural and Biological Sciences,SPIRE - Sciences Po Institutional REpository,3917
Agricultural and Biological Sciences,Botanical Journal of the Linnean Society,3915
Agricultural and Biological Sciences,Munich Personal RePEc Archive (Ludwig Maximilian University of Munich),3904
Agricultural and Biological Sciences,Molecular Plant-Microbe Interactions,3899
Agricultural and Biological Sciences,Asian-Australasian Journal of Animal Sciences,3897
Agricultural and Biological Sciences,Journal of Experimental Biology,3891
Agricultural and Biological Sciences,Canadian Journal of Animal Science,3875
Agricultural and Biological Sciences,Biologia Plantarum,3853
Agricultural and Biological Sciences,Journal of Chromatography A,3842
Agricultural and Biological Sciences,Birds of the World,3833
Agricultural and Biological Sciences,Kansas Agricultural Experiment Station Research Reports,3815
Agricultural and Biological Sciences,Food / Nahrung,3813
Agricultural and Biological Sciences,PLANT ARCHIVES,3813
Agricultural and Biological Sciences,University of Zagreb University Computing Centre (SRCE),3805
Agricultural and Biological Sciences,Bulletin of the Torrey Botanical Club,3804
Agricultural and Biological Sciences,Microorganisms,3785
Agricultural and Biological Sciences,Methods in molecular biology,3758
Agricultural and Biological Sciences,Plant Molecular Biology,3745
Agricultural and Biological Sciences,International Journal of Research in Agronomy,3742
Agricultural and Biological Sciences,Korean Journal of Food Science and Technology,3740
Agricultural and Biological Sciences,Apple Academic Press eBooks,3726
Agricultural and Biological Sciences,Journal of Food Processing and Preservation,3723
Agricultural and Biological Sciences,Science and Technology of Food Industry,3708
Agricultural and Biological Sciences,Journal of Plant Production,3664
Agricultural and Biological Sciences,Ecology and Evolution,3637
Agricultural and Biological Sciences,Genetic Resources and Crop Evolution,3635
Agricultural and Biological Sciences,Acta Physiologiae Plantarum,3599
Agricultural and Biological Sciences,Journal of General Virology,3597
Agricultural and Biological Sciences,Deep Blue (University of Michigan),3589
Agricultural and Biological Sciences,Ethnobotany of mountain regions,3585
Agricultural and Biological Sciences,Indian Journal of Agronomy,3576
Agricultural and Biological Sciences,Pakistan Journal of Biological Sciences,3569
Agricultural and Biological Sciences,Andalas University eThesis (Andalas University),3561
Agricultural and Biological Sciences,ACS symposium series,3551
Agricultural and Biological Sciences,Zeszyty Problemowe Postępów Nauk Rolniczych,3536
Agricultural and Biological Sciences,Journal of Integrative Plant Biology,3504
Agricultural and Biological Sciences,Cellular and Molecular Life Sciences,3483
Agricultural and Biological Sciences,Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia),3480
Agricultural and Biological Sciences,Canadian Journal of Zoology,3477
Agricultural and Biological Sciences,Geoderma,3474
Agricultural and Biological Sciences,Brazilian Journal of Development,3472
Agricultural and Biological Sciences,CATENA,3455
Agricultural and Biological Sciences,Journal of Applied Entomology,3452
Agricultural and Biological Sciences,Journal of AOAC INTERNATIONAL,3447
Agricultural and Biological Sciences,Rothamsted Repository (Rothamsted Repository),3439
Agricultural and Biological Sciences,Semina Ciências Agrárias,3426
Agricultural and Biological Sciences,Forests,3423
Agricultural and Biological Sciences,Journal of the Indian Society of Soil Science,3395
Agricultural and Biological Sciences,Bioresource Technology,3377
Agricultural and Biological Sciences,Indian Phytopathology,3369
Agricultural and Biological Sciences,EPPO Bulletin,3368
Agricultural and Biological Sciences,OhioLink ETD Center (Ohio Library and Information Network),3360
Agricultural and Biological Sciences,Heredity,3347
Agricultural and Biological Sciences,CYTOLOGIA,3344
Agricultural and Biological Sciences,PeerJ,3340
Agricultural and Biological Sciences,Duo Research Archive (University of Oslo),3334
Agricultural and Biological Sciences,International Journal of Environment and Climate Change,3327
Agricultural and Biological Sciences,Indian Journal of Entomology,3326
Agricultural and Biological Sciences,Plant Signaling & Behavior,3324
Agricultural and Biological Sciences,Experimental Agriculture,3324
Agricultural and Biological Sciences,Journal of the Japanese Society for Horticultural Science,3314
Agricultural and Biological Sciences,Journal of Applied Microbiology,3303
Agricultural and Biological Sciences,American Journal of Enology and Viticulture,3298
Agricultural and Biological Sciences,Journal of the Korean Society of Food Science and Nutrition,3295
Agricultural and Biological Sciences,Bragantia,3287
Agricultural and Biological Sciences,Oikos,3283
Agricultural and Biological Sciences,Legume Research - An International Journal,3273
Agricultural and Biological Sciences,Behavioral Ecology and Sociobiology,3263
Agricultural and Biological Sciences,Applied Sciences,3261
Agricultural and Biological Sciences,Journal of Insect Physiology,3250
Agricultural and Biological Sciences,PsycEXTRA Dataset,3244
Agricultural and Biological Sciences,Biology and Fertility of Soils,3239
Agricultural and Biological Sciences,The FASEB Journal,3215
Agricultural and Biological Sciences,eCommons (Cornell University),3214
Agricultural and Biological Sciences,Proceedings of the New Zealand Weed Control Conference,3209
Agricultural and Biological Sciences,EGU General Assembly Conference Abstracts,3207
Agricultural and Biological Sciences,INFLIBNET,3201
Agricultural and Biological Sciences,Archives of Phytopathology and Plant Protection,3198
Agricultural and Biological Sciences,Chemosphere,3197
Agricultural and Biological Sciences,PROTOPLASMA,3197
Agricultural and Biological Sciences,Journal of Parasitology,3194
Agricultural and Biological Sciences,Australian Journal of Experimental Agriculture,3173
Agricultural and Biological Sciences,theses.fr (ABES),3161
Agricultural and Biological Sciences,Natural Product Research,3160
Agricultural and Biological Sciences,Journal of Nutrition,3148
Agricultural and Biological Sciences,Journal of Invertebrate Pathology,3147
Agricultural and Biological Sciences,Small Ruminant Research,3146
Agricultural and Biological Sciences,Toxicology Letters,3135
Agricultural and Biological Sciences,Reproduction,3114
Agricultural and Biological Sciences,Brittonia,3113
Agricultural and Biological Sciences,Sax's Dangerous Properties of Industrial Materials,3110
Agricultural and Biological Sciences,Journal of Mammalogy,3093
Agricultural and Biological Sciences,Grass and Forage Science,3093
Agricultural and Biological Sciences,Federal Research Centre for Cultivated Plants (Julius Kühn-Institut),3089
Agricultural and Biological Sciences,Journal of Stored Products Research,3085
Agricultural and Biological Sciences,Open Collections,3074
Agricultural and Biological Sciences,Current Biology,3064
Agricultural and Biological Sciences,Zeitschrift für Angewandte Entomologie,3061
Agricultural and Biological Sciences,Frontiers in Veterinary Science,3060
Agricultural and Biological Sciences,Experimental Biology and Medicine,3058
Agricultural and Biological Sciences,School Science and Mathematics,3057
Agricultural and Biological Sciences,Agricultural Systems,3056
Agricultural and Biological Sciences,Genome,3054
Agricultural and Biological Sciences,BioControl,3050
Agricultural and Biological Sciences,Plant Breeding,3043
Agricultural and Biological Sciences,Environmental Pollution,3043
Agricultural and Biological Sciences,CINECA IRIS Institutial research information system (University of Pisa),3025
Agricultural and Biological Sciences,InTech eBooks,3017
Agricultural and Biological Sciences,Journal of Fish Biology,2998
Agricultural and Biological Sciences,Applied Entomology and Zoology,2994
Agricultural and Biological Sciences,Veterinary Microbiology,2990
Agricultural and Biological Sciences,Electronic theses and dissertations (Syiah Kuala University),2990
Agricultural and Biological Sciences,Journal of Medical Entomology,2985
Agricultural and Biological Sciences,Applied Microbiology and Biotechnology,2983
Agricultural and Biological Sciences,Molecular Ecology,2982
Agricultural and Biological Sciences,SpringerReference,2945
Agricultural and Biological Sciences,HortTechnology,2939
Agricultural and Biological Sciences,Open Access Repository of ICRISAT (International Crops Research Institute for the Semi-Arid Tropics),2936
Agricultural and Biological Sciences,2016 International Congress of Entomology,2918
Agricultural and Biological Sciences,Journal of Dairy Research,2910
Agricultural and Biological Sciences,Canadian Journal of Microbiology,2909
Agricultural and Biological Sciences,Journal of Essential Oil Research,2905
Agricultural and Biological Sciences,Journal of Agricultural Science,2905
Agricultural and Biological Sciences,AGUFM,2902
Agricultural and Biological Sciences,Archivio istituzionale della ricerca (Alma Mater Studiorum Università di Bologna),2900
Agricultural and Biological Sciences,New Zealand Journal of Agricultural Research,2899
Agricultural and Biological Sciences,Livestock Science,2893
Agricultural and Biological Sciences,The American Midland Naturalist,2888
Agricultural and Biological Sciences,Food Bioscience,2886
Agricultural and Biological Sciences,Hubei nongye kexue,2875
Agricultural and Biological Sciences,Weed Research,2864
Agricultural and Biological Sciences,Biodiversitas Journal of Biological Diversity,2862
Agricultural and Biological Sciences,Zhongguo nongye Kexue,2857
Agricultural and Biological Sciences,Indian Journal of Weed Science,2854
Agricultural and Biological Sciences,FEBS Letters,2853
Agricultural and Biological Sciences,日本作物学会紀事,2852
Agricultural and Biological Sciences,Pesticide Biochemistry and Physiology,2848
Agricultural and Biological Sciences,Xibei zhiwu xuebao,2845
Agricultural and Biological Sciences,Eprints@CMFRI Open Access Institutional Repository (Central Marine Fisheries Research Institute),2838
Agricultural and Biological Sciences,Bulletin of Environmental Contamination and Toxicology,2836
Agricultural and Biological Sciences,Purdue e-Pubs (Purdue University System),2833
Agricultural and Biological Sciences,Hereditas,2832
Agricultural and Biological Sciences,International Journal of Tropical Insect Science,2821
Agricultural and Biological Sciences,International Dairy Journal,2815
Agricultural and Biological Sciences,Biuletyn Instytutu Hodowli i Aklimatyzacji Roślin,2813
Agricultural and Biological Sciences,Journal of Food Science and Technology,2812
Agricultural and Biological Sciences,European Journal of Agronomy,2807
Agricultural and Biological Sciences,BMJ,2804
Agricultural and Biological Sciences,Biochemical and Biophysical Research Communications,2799
Agricultural and Biological Sciences,Soil Science & Plant Nutrition,2794
Agricultural and Biological Sciences,American Fern Journal,2794
Agricultural and Biological Sciences,Journal of Farm Economics,2784
Agricultural and Biological Sciences,"Encyclopedic Dictionary of Genetics, Genomics and Proteomics",2778
Agricultural and Biological Sciences,EGUGA,2776
Agricultural and Biological Sciences,Journal of Plant Growth Regulation,2775
Agricultural and Biological Sciences,Fresenius Zeitschrift für Analytische Chemie,2767
Agricultural and Biological Sciences,Bulletin of Miscellaneous Information (Royal Gardens Kew),2763
Agricultural and Biological Sciences,Известия Оренбургского государственного аграрного университета,2753
Agricultural and Biological Sciences,Lecture notes in networks and systems,2752
Agricultural and Biological Sciences,Journal of Range Management,2748
Agricultural and Biological Sciences,Food Science and Technology,2747
Agricultural and Biological Sciences,Journal of Apicultural Research,2745
Agricultural and Biological Sciences,IntechOpen eBooks,2744
Agricultural and Biological Sciences,UNESP Institutional Repository (São Paulo State University),2736
Agricultural and Biological Sciences,Nihon Chikusan Gakkaiho,2726
Agricultural and Biological Sciences,Mycotaxon,2722
Agricultural and Biological Sciences,Food and Chemical Toxicology,2722
Agricultural and Biological Sciences,Revista Brasileira de Fruticultura,2719
Agricultural and Biological Sciences,Agroforestry Systems,2714
Agricultural and Biological Sciences,Japanese Journal of Phytopathology,2712
Agricultural and Biological Sciences,Journal of Physics Conference Series,2709
Agricultural and Biological Sciences,Acta Entomologica Sinica,2708
Agricultural and Biological Sciences,SUNScholar (Stellenbosch University),2705
Agricultural and Biological Sciences,Cereal Research Communications,2703
Agricultural and Biological Sciences,Journal of Integrative Agriculture,2702
Agricultural and Biological Sciences,Time to knit,2700
Agricultural and Biological Sciences,한국작물학회 학술발표대회 논문집,2698
Agricultural and Biological Sciences,eCite Digital Repository (University of Tasmania),2696
Agricultural and Biological Sciences,Behavioral Ecology,2694
Agricultural and Biological Sciences,Animal Reproduction Science,2691
Agricultural and Biological Sciences,Nordic Journal of Botany,2688
Agricultural and Biological Sciences,International Journal of Biosciences (IJB),2687
Agricultural and Biological Sciences,Ecotoxicology and Environmental Safety,2676
Agricultural and Biological Sciences,Biochemical Systematics and Ecology,2675
Agricultural and Biological Sciences,The Lichenologist,2672
Agricultural and Biological Sciences,Guizhou nongye kexue,2672
Agricultural and Biological Sciences,Drying Technology,2671
Agricultural and Biological Sciences,Nature Communications,2667
Agricultural and Biological Sciences,International Journal of Dairy Technology,2656
Agricultural and Biological Sciences,Acta Societatis Botanicorum Poloniae,2656
Agricultural and Biological Sciences,Prodinra (INRA Bordeaux-Aquitaine),2646
Agricultural and Biological Sciences,Animal Science,2644
Agricultural and Biological Sciences,Plant Growth Regulation,2633
Agricultural and Biological Sciences,animal,2631
Agricultural and Biological Sciences,Biological Journal of the Linnean Society,2623
Agricultural and Biological Sciences,Flora,2620
Agricultural and Biological Sciences,Nigerian Journal of Animal Production,2620
Agricultural and Biological Sciences,JAMA,2614
Agricultural and Biological Sciences,UKnowledge (University of Kentucky),2610
Agricultural and Biological Sciences,Journal of Experimental Agriculture International,2595
Agricultural and Biological Sciences,Frontiers in Sustainable Food Systems,2590
Agricultural and Biological Sciences,Journal of Applied Ecology,2587
Agricultural and Biological Sciences,Physiological and Molecular Plant Pathology,2587
Agricultural and Biological Sciences,Revista Brasileira de Ciência do Solo,2583
Agricultural and Biological Sciences,Journal of Environmental Management,2581
