Field,Source,Works
Physics and Astronomy,Nature Physics,3650
Physics and Astronomy,Applied Optics,3649
Physics and Astronomy,Journal of the Optical Society of America,3645
Physics and Astronomy,Eos,3625
Physics and Astronomy,Science News,3612
Physics and Astronomy,GCN,3609
Physics and Astronomy,Foundations of Physics,3601
Physics and Astronomy,Geochimica et Cosmochimica Acta,3600
Physics and Astronomy,ATel,3595
Physics and Astronomy,Journal of Atmospheric and Solar-Terrestrial Physics,3573
Physics and Astronomy,The Journal of Physical Chemistry C,3552
Physics and Astronomy,Journal of Molecular Structure THEOCHEM,3518
Physics and Astronomy,Nonlinear Dynamics,3506
Physics and Astronomy,IEEE Transactions on Antennas and Propagation,3481
Physics and Astronomy,Transactions of the American Nuclear Society,3481
Physics and Astronomy,HST Proposal,3463
Physics and Astronomy,Atomic Energy,3456
Physics and Astronomy,Optical and Quantum Electronics,3439
Physics and Astronomy,Who Was Who,3416
Physics and Astronomy,IEEE Photonics Technology Letters,3412
Physics and Astronomy,Langmuir,3398
Physics and Astronomy,Journal of Statistical Mechanics Theory and Experiment,3394
Physics and Astronomy,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,3336
Physics and Astronomy,中国物理快报：英文版,3332
Physics and Astronomy,Chemischer Informationsdienst,3309
Physics and Astronomy,KTH Publication Database DiVA (KTH Royal Institute of Technology),3278
Physics and Astronomy,Entropy,3272
Physics and Astronomy,Journal of Electron Spectroscopy and Related Phenomena,3261
Physics and Astronomy,Bulletin of the Russian Academy of Sciences Physics,3258
Physics and Astronomy,Physica,3250
Physics and Astronomy,Journal of Nuclear Materials,3240
Physics and Astronomy,Choice Reviews Online,3223
Physics and Astronomy,Applied Physics A,3215
Physics and Astronomy,European Journal of Physics,3207
Physics and Astronomy,Radiation Protection Dosimetry,3187
Physics and Astronomy,Physical Review Applied,3185
Physics and Astronomy,Surface Science Letters,3175
Physics and Astronomy,theses.fr (ABES),3171
Physics and Astronomy,Low Temperature Physics,3167
Physics and Astronomy,Physica Medica,3163
Physics and Astronomy,Biophysical Journal,3163
Physics and Astronomy,Il Nuovo cimento della Società italiana di fisica. B/Il Nuovo cimento B,3162
Physics and Astronomy,Journal of Luminescence,3142
Physics and Astronomy,Nano Letters,3130
Physics and Astronomy,Optical Engineering,3109
Physics and Astronomy,Nanotechnology,3099
Physics and Astronomy,Universe,3089
Physics and Astronomy,Acta Astronautica,3088
Physics and Astronomy,理论物理通讯：英文版,3087
Physics and Astronomy,EGUGA,3075
Physics and Astronomy,Journal of Computational Physics,3059
Physics and Astronomy,ESO astrophysics symposia,3052
Physics and Astronomy,Materials science forum,3044
Physics and Astronomy,Journal of Quantitative Spectroscopy and Radiative Transfer,3042
Physics and Astronomy,Journal of Applied Clinical Medical Physics,3042
Physics and Astronomy,Physics of the Solid State,3040
Physics and Astronomy,ECS Meeting Abstracts,3025
Physics and Astronomy,Chaos An Interdisciplinary Journal of Nonlinear Science,3015
Physics and Astronomy,Journal of Vacuum Science & Technology A Vacuum Surfaces and Films,3014
Physics and Astronomy,Journal of Vacuum Science & Technology B Microelectronics and Nanometer Structures Processing Measurement and Phenomena,3013
Physics and Astronomy,Physica B+C,2996
Physics and Astronomy,Uspekhi Fizicheskih Nauk,2970
Physics and Astronomy,RePEc: Research Papers in Economics,2963
Physics and Astronomy,Proceedings of the Royal Society of London A Mathematical and Physical Sciences,2948
Physics and Astronomy,Physics Letters,2943
Physics and Astronomy,Journal of Superconductivity and Novel Magnetism,2938
Physics and Astronomy,Theoretical Chemistry Accounts,2929
Physics and Astronomy,Semiconductors,2920
Physics and Astronomy,Le Journal de Physique Colloques,2913
Physics and Astronomy,Research in Astronomy and Astrophysics,2897
Physics and Astronomy,The Journal of Physical Chemistry Letters,2851
Physics and Astronomy,Infoscience (Ecole Polytechnique Fédérale de Lausanne),2847
Physics and Astronomy,Japan Geoscience Union,2836
Physics and Astronomy,素粒子論研究,2833
Physics and Astronomy,VizieR Online Data Catalog,2803
Physics and Astronomy,Optics & Laser Technology,2795
Physics and Astronomy,Astronomy Reports,2758
Physics and Astronomy,IEICE Technical Report; IEICE Tech. Rep.,2751
Physics and Astronomy,Publications of the Astronomical Society of Australia,2738
Physics and Astronomy,Technical Physics Letters,2731
Physics and Astronomy,Astrophysics,2726
Physics and Astronomy,Nuclear Science and Engineering,2718
Physics and Astronomy,Encyclopedia of Astrobiology,2697
Physics and Astronomy,International Journal of Bifurcation and Chaos,2689
Physics and Astronomy,ESASP,2683
Physics and Astronomy,Symmetry,2682
Physics and Astronomy,IEEE Transactions on Microwave Theory and Techniques,2680
Physics and Astronomy,Chinese Journal of Physics,2678
Physics and Astronomy,Publishing Network for Geoscientific and Environmental Data (PANGAEA) (Alfred Wegener Institute for Polar and Marine Research),2669
Physics and Astronomy,Microscopy and Microanalysis,2660
Physics and Astronomy,Physics Reports,2653
Physics and Astronomy,Journal of Molecular Spectroscopy,2651
Physics and Astronomy,Open Repository and Bibliography (University of Liège),2626
Physics and Astronomy,Analytical Chemistry,2586
Physics and Astronomy,Journal of Electronic Materials,2569
Physics and Astronomy,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",2567
Physics and Astronomy,International Journal of Geometric Methods in Modern Physics,2561
Physics and Astronomy,Acta Physica Polonica B,2556
Physics and Astronomy,Meeting abstracts of the Physical Society of Japan,2552
Physics and Astronomy,Journal of Nuclear Science and Technology,2547
Physics and Astronomy,Physics Education,2541
Physics and Astronomy,Astroparticle Physics,2537
Physics and Astronomy,Kyoto University Research Information Repository (Kyoto University),2536
Physics and Astronomy,Journal of the Royal Astronomical Society of Canada,2532
Physics and Astronomy,Highlights of Astronomy,2531
Physics and Astronomy,Journal of Geophysical Research Planets,2527
Physics and Astronomy,Few-Body Systems,2523
Physics and Astronomy,IEEE Electron Device Letters,2514
Physics and Astronomy,SPIRE - Sciences Po Institutional REpository,2512
Physics and Astronomy,Contributions to Plasma Physics,2505
Physics and Astronomy,"Encyclopaedia of Islam, Second Edition",2484
Physics and Astronomy,SpringerReference,2480
Physics and Astronomy,Applied Physics Express,2459
Physics and Astronomy,Journal of Computational Chemistry,2457
Physics and Astronomy,Brazilian Journal of Physics,2453
Physics and Astronomy,APS Division of Nuclear Physics Meeting Abstracts,2453
Physics and Astronomy,日本物理学会講演概要集,2442
Physics and Astronomy,Radiation Physics and Chemistry,2412
Physics and Astronomy,A&A,2401
Physics and Astronomy,Annals of the New York Academy of Sciences,2391
Physics and Astronomy,Communications in Nonlinear Science and Numerical Simulation,2388
Physics and Astronomy,Materials Science and Engineering B,2385
Physics and Astronomy,Journal of Physics G Nuclear Physics,2385
Physics and Astronomy,Springer series in solid-state sciences,2361
Physics and Astronomy,Proceedings of the IEEE,2356
Physics and Astronomy,Plasma Physics Reports,2353
Physics and Astronomy,Deep Blue (University of Michigan),2353
Physics and Astronomy,ENCODE Datasets,2347
Physics and Astronomy,Journal of Solid State Chemistry,2345
Physics and Astronomy,Physics Bulletin,2342
Physics and Astronomy,Physics,2342
Physics and Astronomy,Astronomy Letters,2315
Physics and Astronomy,Earth and Planetary Science Letters,2312
Physics and Astronomy,hst,2297
Physics and Astronomy,Technical Physics,2283
Physics and Astronomy,Fusion Science & Technology,2277
Physics and Astronomy,Acta Crystallographica Section A Foundations of Crystallography,2268
Physics and Astronomy,Fortschritte der Physik,2260
Physics and Astronomy,EAS Publications Series,2260
Physics and Astronomy,Lexikon des gesamten Buchwesens Online,2250
Physics and Astronomy,Results in Physics,2246
Physics and Astronomy,Central Bureau Electronic Telegrams,2244
Physics and Astronomy,Cryogenics,2240
Physics and Astronomy,New Astronomy,2217
Physics and Astronomy,Journal of Synchrotron Radiation,2197
Physics and Astronomy,Journal of Molecular Structure,2196
Physics and Astronomy,Soviet Journal of Quantum Electronics,2194
Physics and Astronomy,Springer series in chemical physics,2193
Physics and Astronomy,Earth Moon and Planets,2191
Physics and Astronomy,Radiation Measurements,2189
Physics and Astronomy,physica status solidi (a),2189
Physics and Astronomy,Applied Mathematics and Computation,2186
Physics and Astronomy,Physics of Fluids,2177
Physics and Astronomy,Journal of Physics F Metal Physics,2176
Physics and Astronomy,IAUC,2174
Physics and Astronomy,X-Ray Spectrometry,2162
Physics and Astronomy,Max Planck Institute for Plasma Physics,2157
Physics and Astronomy,Notes and Queries,2150
Physics and Astronomy,yCat,2148
Physics and Astronomy,Reviews of Modern Physics,2143
Physics and Astronomy,Journal of The Electrochemical Society,2140
Physics and Astronomy,Quantum Electronics,2133
Physics and Astronomy,Journal of Applied Spectroscopy,2126
Physics and Astronomy,Chinese Astronomy and Astrophysics,2123
Physics and Astronomy,DESY Publication Database (PUBDB) (Deutsches Elektronen-Synchrotron),2115
Physics and Astronomy,Soviet Journal of Low Temperature Physics,2068
Physics and Astronomy,Laser Physics,2066
Physics and Astronomy,Progress of Theoretical and Experimental Physics,2060
Physics and Astronomy,Journal of Optics,2053
Physics and Astronomy,Astrophysics and space science proceedings,2049
Physics and Astronomy,Journal of Lightwave Technology,2046
Physics and Astronomy,The European Physical Journal Special Topics,2043
Physics and Astronomy,Ferroelectrics,2028
Physics and Astronomy,Memorie della Societa Astronomica Italiana,2028
Physics and Astronomy,British Journal of Radiology,2025
Physics and Astronomy,Geophysical monograph,2021
Physics and Astronomy,Research Notes of the AAS,2020
Physics and Astronomy,Optical Materials,2018
Physics and Astronomy,Advanced materials research,2014
Physics and Astronomy,Journal of the British Astronomical Association,2012
Physics and Astronomy,Nature Astronomy,1999
Physics and Astronomy,Journal of Fluid Mechanics,1996
Physics and Astronomy,Advanced Materials,1988
Physics and Astronomy,Electronic Enlightenment Scholarly Edition of Correspondence,1988
Physics and Astronomy,Indian Journal of Physics,1979
Physics and Astronomy,IEEE Access,1973
Physics and Astronomy,Quantum Electronics and Laser Science Conference,1968
Physics and Astronomy,Physics Procedia,1962
Physics and Astronomy,Physics-Uspekhi,1954
Physics and Astronomy,Applied Sciences,1948
Physics and Astronomy,Zeitschrift für Physikalische Chemie,1938
Physics and Astronomy,Physikalische Blätter,1934
Physics and Astronomy,Astronomy & Geophysics,1933
Physics and Astronomy,IUE Proposal,1929
Physics and Astronomy,中国物理B：英文版,1927
Physics and Astronomy,Celestial Mechanics and Dynamical Astronomy,1923
Physics and Astronomy,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,1922
Physics and Astronomy,Space Weather,1919
Physics and Astronomy,Research Explorer (The University of Manchester),1916
Physics and Astronomy,Nuclear Instruments and Methods in Physics Research,1911
Physics and Astronomy,Popular Astronomy,1910
Physics and Astronomy,PLoS ONE,1895
Physics and Astronomy,Теоретическая и математическая физика,1892
Physics and Astronomy,Australian Journal of Physics,1884
Physics and Astronomy,JACOW,1882
Physics and Astronomy,AGU Spring Meeting Abstracts,1881
Physics and Astronomy,Progress in Particle and Nuclear Physics,1871
Physics and Astronomy,SciPost Physics,1867
Physics and Astronomy,Lecture notes in electrical engineering,1865
Physics and Astronomy,Journal of Applied Crystallography,1864
Physics and Astronomy,Journal of the Less Common Metals,1862
Physics and Astronomy,UNC Libraries,1844
Physics and Astronomy,Sensors,1844
Physics and Astronomy,Ultramicroscopy,1843
Physics and Astronomy,ZAMM ‐ Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik,1836
Physics and Astronomy,Dépôt institutionnel de l'Université libre de Bruxelles (Université Libre de Bruxelles),1833
Physics and Astronomy,Americanae (AECID Library),1830
Physics and Astronomy,Letters in Mathematical Physics,1825
Physics and Astronomy,Contemporary Physics,1822
Physics and Astronomy,Microwave and Optical Technology Letters,1811
Physics and Astronomy,Physics of the Dark Universe,1810
Physics and Astronomy,Physik in unserer Zeit,1801
Physics and Astronomy,Verhandlungen der Deutschen Physikalischen Gesellschaft,1801
Physics and Astronomy,Physical Review X,1794
Physics and Astronomy,Journal of Modern Physics,1789
Physics and Astronomy,Physics of Particles and Nuclei Letters,1784
Physics and Astronomy,S&T,1783
Physics and Astronomy,Solar System Research,1770
Physics and Astronomy,Chandra Proposal,1766
Physics and Astronomy,Zeitschrift für Physik A Hadrons and Nuclei,1757
Physics and Astronomy,Kluwer Academic Publishers eBooks,1754
Physics and Astronomy,High Power Laser and Particle Beams,1746
Physics and Astronomy,Nuclear and Particle Physics Proceedings,1745
Physics and Astronomy,Physics Essays,1745
Physics and Astronomy,NASA STI/Recon Technical Report N,1735
Physics and Astronomy,Frontiers in Physics,1735
Physics and Astronomy,Meteoritics and Planetary Science Supplement,1734
Physics and Astronomy,Berichte der Bunsengesellschaft für physikalische Chemie,1734
Physics and Astronomy,Physics of Particles and Nuclei,1727
Physics and Astronomy,Color Research & Application,1716
Physics and Astronomy,Astronomy & Astrophysics Supplement Series,1713
Physics and Astronomy,Science China Physics Mechanics and Astronomy,1712
Physics and Astronomy,Journal of Astrophysics and Astronomy,1710
Physics and Astronomy,UCL Discovery (University College London),1709
Physics and Astronomy,Information Bulletin on Variable Stars,1706
Physics and Astronomy,Fusion Technology,1694
Physics and Astronomy,Journal de Physique IV (Proceedings),1689
Physics and Astronomy,Nature Photonics,1685
Physics and Astronomy,Microelectronic Engineering,1684
Physics and Astronomy,한국천문학회보,1680
Physics and Astronomy,Open Collections,1678
Physics and Astronomy,IEEE Transactions on Instrumentation and Measurement,1676
Physics and Astronomy,Science Advances,1675
Physics and Astronomy,Laser and Particle Beams,1675
