Field,Year,Works
"Biochemistry, Genetics and Molecular Biology",1899,1578
"Biochemistry, Genetics and Molecular Biology",1900,2015
"Biochemistry, Genetics and Molecular Biology",1901,1859
"Biochemistry, Genetics and Molecular Biology",1902,1957
"Biochemistry, Genetics and Molecular Biology",1903,1858
"Biochemistry, Genetics and Molecular Biology",1904,2156
"Biochemistry, Genetics and Molecular Biology",1905,2138
"Biochemistry, Genetics and Molecular Biology",1906,2160
"Biochemistry, Genetics and Molecular Biology",1907,2148
"Biochemistry, Genetics and Molecular Biology",1908,2276
"Biochemistry, Genetics and Molecular Biology",1909,2482
"Biochemistry, Genetics and Molecular Biology",1910,2555
"Biochemistry, Genetics and Molecular Biology",1911,2675
"Biochemistry, Genetics and Molecular Biology",1912,2827
"Biochemistry, Genetics and Molecular Biology",1913,3030
"Biochemistry, Genetics and Molecular Biology",1914,2816
"Biochemistry, Genetics and Molecular Biology",1915,2624
"Biochemistry, Genetics and Molecular Biology",1916,2273
"Biochemistry, Genetics and Molecular Biology",1917,2312
"Biochemistry, Genetics and Molecular Biology",1918,2109
"Biochemistry, Genetics and Molecular Biology",1919,2270
"Biochemistry, Genetics and Molecular Biology",1920,2567
"Biochemistry, Genetics and Molecular Biology",1921,2906
"Biochemistry, Genetics and Molecular Biology",1922,3337
"Biochemistry, Genetics and Molecular Biology",1923,3416
"Biochemistry, Genetics and Molecular Biology",1924,3818
"Biochemistry, Genetics and Molecular Biology",1925,4066
"Biochemistry, Genetics and Molecular Biology",1926,4637
"Biochemistry, Genetics and Molecular Biology",1927,4866
"Biochemistry, Genetics and Molecular Biology",1928,5085
"Biochemistry, Genetics and Molecular Biology",1929,4921
"Biochemistry, Genetics and Molecular Biology",1930,5499
"Biochemistry, Genetics and Molecular Biology",1931,5350
"Biochemistry, Genetics and Molecular Biology",1932,5697
"Biochemistry, Genetics and Molecular Biology",1933,5828
"Biochemistry, Genetics and Molecular Biology",1934,5705
"Biochemistry, Genetics and Molecular Biology",1935,6129
"Biochemistry, Genetics and Molecular Biology",1936,6232
"Biochemistry, Genetics and Molecular Biology",1937,6336
"Biochemistry, Genetics and Molecular Biology",1938,6441
"Biochemistry, Genetics and Molecular Biology",1939,6505
"Biochemistry, Genetics and Molecular Biology",1940,7073
"Biochemistry, Genetics and Molecular Biology",1941,5503
"Biochemistry, Genetics and Molecular Biology",1942,5471
"Biochemistry, Genetics and Molecular Biology",1943,4880
"Biochemistry, Genetics and Molecular Biology",1944,4287
"Biochemistry, Genetics and Molecular Biology",1945,4724
"Biochemistry, Genetics and Molecular Biology",1946,6468
"Biochemistry, Genetics and Molecular Biology",1947,8196
"Biochemistry, Genetics and Molecular Biology",1948,8974
"Biochemistry, Genetics and Molecular Biology",1949,9590
"Biochemistry, Genetics and Molecular Biology",1950,13590
"Biochemistry, Genetics and Molecular Biology",1951,13453
"Biochemistry, Genetics and Molecular Biology",1952,14323
"Biochemistry, Genetics and Molecular Biology",1953,15309
"Biochemistry, Genetics and Molecular Biology",1954,16286
"Biochemistry, Genetics and Molecular Biology",1955,17075
"Biochemistry, Genetics and Molecular Biology",1956,17606
"Biochemistry, Genetics and Molecular Biology",1957,18996
"Biochemistry, Genetics and Molecular Biology",1958,19788
"Biochemistry, Genetics and Molecular Biology",1959,21985
"Biochemistry, Genetics and Molecular Biology",1960,26015
"Biochemistry, Genetics and Molecular Biology",1961,25022
"Biochemistry, Genetics and Molecular Biology",1962,26663
"Biochemistry, Genetics and Molecular Biology",1963,28563
"Biochemistry, Genetics and Molecular Biology",1964,28950
"Biochemistry, Genetics and Molecular Biology",1965,33154
"Biochemistry, Genetics and Molecular Biology",1966,38007
"Biochemistry, Genetics and Molecular Biology",1967,41430
"Biochemistry, Genetics and Molecular Biology",1968,44040
"Biochemistry, Genetics and Molecular Biology",1969,46898
"Biochemistry, Genetics and Molecular Biology",1970,55256
"Biochemistry, Genetics and Molecular Biology",1971,52198
"Biochemistry, Genetics and Molecular Biology",1972,53892
"Biochemistry, Genetics and Molecular Biology",1973,54289
"Biochemistry, Genetics and Molecular Biology",1974,56973
"Biochemistry, Genetics and Molecular Biology",1975,59202
"Biochemistry, Genetics and Molecular Biology",1976,59530
"Biochemistry, Genetics and Molecular Biology",1977,63101
"Biochemistry, Genetics and Molecular Biology",1978,66892
"Biochemistry, Genetics and Molecular Biology",1979,68028
"Biochemistry, Genetics and Molecular Biology",1980,76456
"Biochemistry, Genetics and Molecular Biology",1981,74560
"Biochemistry, Genetics and Molecular Biology",1982,76976
"Biochemistry, Genetics and Molecular Biology",1983,77832
"Biochemistry, Genetics and Molecular Biology",1984,81575
"Biochemistry, Genetics and Molecular Biology",1985,85418
"Biochemistry, Genetics and Molecular Biology",1986,89885
"Biochemistry, Genetics and Molecular Biology",1987,94364
"Biochemistry, Genetics and Molecular Biology",1988,98040
"Biochemistry, Genetics and Molecular Biology",1989,103376
"Biochemistry, Genetics and Molecular Biology",1990,117153
"Biochemistry, Genetics and Molecular Biology",1991,112663
"Biochemistry, Genetics and Molecular Biology",1992,116093
"Biochemistry, Genetics and Molecular Biology",1993,119140
"Biochemistry, Genetics and Molecular Biology",1994,126277
"Biochemistry, Genetics and Molecular Biology",1995,131740
"Biochemistry, Genetics and Molecular Biology",1996,142315
"Biochemistry, Genetics and Molecular Biology",1997,142150
"Biochemistry, Genetics and Molecular Biology",1998,154213
"Biochemistry, Genetics and Molecular Biology",1999,152401
"Biochemistry, Genetics and Molecular Biology",2000,177541
"Biochemistry, Genetics and Molecular Biology",2001,176934
"Biochemistry, Genetics and Molecular Biology",2002,191362
"Biochemistry, Genetics and Molecular Biology",2003,212460
"Biochemistry, Genetics and Molecular Biology",2004,235333
"Biochemistry, Genetics and Molecular Biology",2005,237308
"Biochemistry, Genetics and Molecular Biology",2006,262563
"Biochemistry, Genetics and Molecular Biology",2007,273045
"Biochemistry, Genetics and Molecular Biology",2008,293719
"Biochemistry, Genetics and Molecular Biology",2009,310076
"Biochemistry, Genetics and Molecular Biology",2010,323450
"Biochemistry, Genetics and Molecular Biology",2011,339237
"Biochemistry, Genetics and Molecular Biology",2012,351794
"Biochemistry, Genetics and Molecular Biology",2013,356054
"Biochemistry, Genetics and Molecular Biology",2014,366063
"Biochemistry, Genetics and Molecular Biology",2015,387397
"Biochemistry, Genetics and Molecular Biology",2016,377878
"Biochemistry, Genetics and Molecular Biology",2017,377398
"Biochemistry, Genetics and Molecular Biology",2018,407366
"Biochemistry, Genetics and Molecular Biology",2019,423725
"Biochemistry, Genetics and Molecular Biology",2020,455576
"Biochemistry, Genetics and Molecular Biology",2021,422695
"Biochemistry, Genetics and Molecular Biology",2022,402970
"Biochemistry, Genetics and Molecular Biology",2023,508432
"Biochemistry, Genetics and Molecular Biology",2024,415417
"Biochemistry, Genetics and Molecular Biology",2025,379938
"Biochemistry, Genetics and Molecular Biology",2026,55147
