Field,Year,Works
Agricultural and Biological Sciences,1925,7895
Agricultural and Biological Sciences,1926,8376
Agricultural and Biological Sciences,1927,8740
Agricultural and Biological Sciences,1928,8639
Agricultural and Biological Sciences,1929,9075
Agricultural and Biological Sciences,1930,11433
Agricultural and Biological Sciences,1931,10120
Agricultural and Biological Sciences,1932,10310
Agricultural and Biological Sciences,1933,9780
Agricultural and Biological Sciences,1934,9988
Agricultural and Biological Sciences,1935,10388
Agricultural and Biological Sciences,1936,11221
Agricultural and Biological Sciences,1937,10877
Agricultural and Biological Sciences,1938,11207
Agricultural and Biological Sciences,1939,11085
Agricultural and Biological Sciences,1940,17763
Agricultural and Biological Sciences,1941,9696
Agricultural and Biological Sciences,1942,9304
Agricultural and Biological Sciences,1943,8382
Agricultural and Biological Sciences,1944,7559
Agricultural and Biological Sciences,1945,7756
Agricultural and Biological Sciences,1946,9109
Agricultural and Biological Sciences,1947,10595
Agricultural and Biological Sciences,1948,11703
Agricultural and Biological Sciences,1949,12272
Agricultural and Biological Sciences,1950,22413
Agricultural and Biological Sciences,1951,15298
Agricultural and Biological Sciences,1952,15976
Agricultural and Biological Sciences,1953,17099
Agricultural and Biological Sciences,1954,17852
Agricultural and Biological Sciences,1955,18503
Agricultural and Biological Sciences,1956,19149
Agricultural and Biological Sciences,1957,20032
Agricultural and Biological Sciences,1958,21083
Agricultural and Biological Sciences,1959,22277
Agricultural and Biological Sciences,1960,39667
Agricultural and Biological Sciences,1961,24724
Agricultural and Biological Sciences,1962,25922
Agricultural and Biological Sciences,1963,29270
Agricultural and Biological Sciences,1964,31154
Agricultural and Biological Sciences,1965,32601
Agricultural and Biological Sciences,1966,33356
Agricultural and Biological Sciences,1967,34972
Agricultural and Biological Sciences,1968,37065
Agricultural and Biological Sciences,1969,40278
Agricultural and Biological Sciences,1970,71901
Agricultural and Biological Sciences,1971,41714
Agricultural and Biological Sciences,1972,41381
Agricultural and Biological Sciences,1973,42287
Agricultural and Biological Sciences,1974,42940
Agricultural and Biological Sciences,1975,44744
Agricultural and Biological Sciences,1976,46348
Agricultural and Biological Sciences,1977,48969
Agricultural and Biological Sciences,1978,50743
Agricultural and Biological Sciences,1979,52989
Agricultural and Biological Sciences,1980,89733
Agricultural and Biological Sciences,1981,58853
Agricultural and Biological Sciences,1982,60166
Agricultural and Biological Sciences,1983,61366
Agricultural and Biological Sciences,1984,66130
Agricultural and Biological Sciences,1985,66742
Agricultural and Biological Sciences,1986,72516
Agricultural and Biological Sciences,1987,73272
Agricultural and Biological Sciences,1988,76870
Agricultural and Biological Sciences,1989,79430
Agricultural and Biological Sciences,1990,117115
Agricultural and Biological Sciences,1991,83884
Agricultural and Biological Sciences,1992,90497
Agricultural and Biological Sciences,1993,94117
Agricultural and Biological Sciences,1994,99152
Agricultural and Biological Sciences,1995,102529
Agricultural and Biological Sciences,1996,110879
Agricultural and Biological Sciences,1997,108717
Agricultural and Biological Sciences,1998,121659
Agricultural and Biological Sciences,1999,117467
Agricultural and Biological Sciences,2000,163205
Agricultural and Biological Sciences,2001,141481
Agricultural and Biological Sciences,2002,152506
Agricultural and Biological Sciences,2003,161900
Agricultural and Biological Sciences,2004,181553
Agricultural and Biological Sciences,2005,188060
Agricultural and Biological Sciences,2006,206761
Agricultural and Biological Sciences,2007,227761
Agricultural and Biological Sciences,2008,260802
Agricultural and Biological Sciences,2009,286126
Agricultural and Biological Sciences,2010,303830
Agricultural and Biological Sciences,2011,308262
Agricultural and Biological Sciences,2012,331822
Agricultural and Biological Sciences,2013,343208
Agricultural and Biological Sciences,2014,363225
Agricultural and Biological Sciences,2015,370350
Agricultural and Biological Sciences,2016,383912
Agricultural and Biological Sciences,2017,385828
Agricultural and Biological Sciences,2018,406171
Agricultural and Biological Sciences,2019,435141
Agricultural and Biological Sciences,2020,429244
Agricultural and Biological Sciences,2021,399951
Agricultural and Biological Sciences,2022,364873
Agricultural and Biological Sciences,2023,387667
Agricultural and Biological Sciences,2024,392418
Agricultural and Biological Sciences,2025,365918
Agricultural and Biological Sciences,2026,47181
